TIME(PST),T_1,T_2,T_3,T_4,H_g,WVC,R_n,H
2009/07/16 00:15,11.675,12.527,12.783,10.911,-3.67,0.211,-40.2,-9999
2009/07/16 00:30,11.606,12.457,12.761,10.928,-3.89,0.211,-39.8,-3.5
2009/07/16 00:45,11.445,12.393,12.69,10.958,-4.09,0.211,-40.3,-9999
2009/07/16 01:00,11.366,12.312,12.671,10.955,-4.15,0.211,-42.2,-11.7
2009/07/16 01:15,11.337,12.222,12.59,10.953,-4.07,0.211,-44.0,-9999
2009/07/16 01:30,11.301,12.118,12.577,10.953,-3.91,0.211,-41.9,-12.2
2009/07/16 01:45,11.228,12.072,12.536,10.973,-3.8,0.211,-42.7,-9999
2009/07/16 02:00,11.142,12.004,12.471,10.978,-3.75,0.211,-42.4,-7.6
2009/07/16 02:15,11.122,11.945,12.472,10.981,-3.8,0.211,-40.9,-9999
2009/07/16 02:30,11.038,11.887,12.412,10.981,-3.88,0.211,-40.5,-7.9
2009/07/16 02:45,10.979,11.843,12.36,10.994,-3.95,0.211,-40.6,-9999
2009/07/16 03:00,10.899,11.787,12.339,10.961,-3.98,0.211,-39.3,-10.3
2009/07/16 03:15,10.818,11.72,12.279,10.982,-4.01,0.211,-36.0,-9999
2009/07/16 03:30,10.772,11.654,12.288,11.005,-4.09,0.211,-33.4,-9.9
2009/07/16 03:45,10.709,11.574,12.209,10.985,-4.11,0.211,-30.7,-9999
2009/07/16 04:00,10.616,11.537,12.17,11.015,-4.19,0.211,-29.0,-2.2
2009/07/16 04:15,10.532,11.483,12.17,11.003,-4.35,0.211,-26.8,-9999
2009/07/16 04:30,10.469,11.401,12.13,11.045,-4.57,0.211,-24.5,-3.7
2009/07/16 04:45,10.354,11.375,12.073,11.027,-4.75,0.212,-18.0,-9999
2009/07/16 05:00,10.305,11.291,12.029,10.997,-4.81,0.211,-8.1,-1.6
2009/07/16 05:15,10.287,11.234,12.002,11.026,-4.68,0.211,6.6,-9999
2009/07/16 05:30,10.227,11.172,11.973,11.016,-4.41,0.212,18.0,3.9
