Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (hPa),PPFD (micromol m-2 s-1),rv
2016-08-12 00:30:00,284.98,287.97,0.16,0.42,-37.06,-0.0011,-0.0003,0.0001,1.7803,0.1186,101.77999877929688,101.77999877929688,0.014620581
2016-08-12 01:00:00,285.09,286.96,0.36,0.42,-30.88,-0.0012,0.0019,0.0007,1.7528,0.1167,101.79000091552734,101.79000091552734,0.013870091000000001
2016-08-12 01:30:00,284.47,287.29,0.36,0.41,-25.31,-0.0016,0.0085,0.0026,1.7174,0.1143,101.8000030517578,101.8000030517578,0.013915787
2016-08-12 02:00:00,284.24,287.35,0.0,0.13,-21.42,-0.0138,0.0031,0.0085,1.6819,0.1119,101.8000030517578,101.8000030517578,0.013973858
2016-08-12 02:30:00,284.18,286.45,0.0,0.1,-19.02,-0.035,0.0159,0.0088,1.6574,0.1104,101.8000030517578,101.8000030517578,0.013507754
2016-08-12 03:00:00,284.11,286.02,0.02,0.3,-17.05,-0.0053,-0.0027,-0.0011,1.6248,0.1083,101.80999755859376,101.80999755859376,0.013205173
2016-08-12 03:30:00,283.8,286.18,0.13,0.19,-15.52,-0.0008,0.0007,-0.0001,1.5961,0.1066,101.81999969482422,101.81999969482422,0.013277287
2016-08-12 04:00:00,283.69,286.39,0.16,0.28,-14.63,-0.0025,0.0018,0.001,1.558,0.1043,101.81999969482422,101.81999969482422,0.01337239
2016-08-12 04:30:00,283.83,285.92,0.0,0.2,-13.65,-0.0067,0.0065,0.0034,1.5309,0.1027,101.81999969482422,101.81999969482422,0.013152554500000002
2016-08-12 05:00:00,283.52,285.23,0.0,0.14,-12.59,-0.0359,-0.0106,-0.0031,1.5032,0.1012,101.83000183105467,101.83000183105467,0.012729235
2016-08-12 05:30:00,284.08,286.15,0.0,0.11,-3.68,-0.0365,0.0011,-0.019,1.4706,0.0994,101.83999633789062,101.83999633789062,0.013343545000000002
2016-08-12 06:00:00,286.57,286.9,0.39,0.49,22.01,-0.0028,0.0068,0.0037,1.436,0.0975,101.8499984741211,101.8499984741211,0.014701916
2016-08-12 06:30:00,290.24,288.69,0.44,0.59,86.05,-0.003,0.0014,-0.0001,1.3935,0.1556,101.86000061035156,101.86000061035156,0.016271544
2016-08-12 07:00:00,293.11,290.79,0.0,0.48,128.76,-0.0406,-0.0036,-0.0005,1.3631,0.0938,101.87999725341795,101.87999725341795,0.01729972
2016-08-12 07:30:00,296.6,293.32,1.08,1.69,177.92,-0.0443,0.0505,0.0094,1.3619,0.0938,101.9000015258789,101.9000015258789,0.017676449
2016-08-12 08:00:00,298.35,294.27,1.01,1.5,253.09,-0.0353,0.0641,0.0117,-1.5055,0.0272,101.8949966430664,101.8949966430664,0.017590685000000002
2016-08-12 08:30:00,299.44,294.87,1.18,1.88,322.96,-0.0616,0.0963,0.0237,-1.59,0.0648,101.88999938964844,101.88999938964844,0.017157033999999998
2016-08-12 09:00:00,301.0,295.55,1.24,1.86,387.47,-0.0543,0.1085,0.0263,-2.6294,0.0417,101.88500213623048,101.88500213623048,0.017378458
2016-08-12 09:30:00,299.03,296.24,1.14,1.76,445.81,-0.0567,0.1358,0.0381,-2.4636,0.072,101.87999725341795,101.87999725341795,0.01761898
2016-08-12 10:00:00,299.41,297.09,1.38,2.0,496.56,-0.0575,0.1453,0.0436,-2.2918,0.0693,101.86499786376952,101.86499786376952,0.017639704
2016-08-12 10:30:00,300.53,297.92,1.25,1.98,538.62,-0.0712,0.1469,0.0497,-2.3794,0.0769,101.8499984741211,101.8499984741211,0.016927444000000003
2016-08-12 11:00:00,300.65,298.42,1.64,2.48,573.35,-0.0863,0.1568,0.0567,-3.0131,0.0736,101.83499908447266,101.83499908447266,0.017149712
2016-08-12 11:30:00,301.19,298.58,1.71,2.62,599.12,-0.0999,0.1864,0.0709,-2.4473,0.0906,101.81999969482422,101.81999969482422,0.017008425
2016-08-12 12:00:00,301.79,298.3,1.89,2.77,616.47,-0.0955,0.1894,0.0711,-2.9471,0.0823,101.81500244140624,101.81500244140624,0.017382473000000002
2016-08-12 12:30:00,301.68,298.61,1.94,2.8,612.45,-0.0906,0.1669,0.0657,-2.4064,0.0734,101.80999755859376,101.80999755859376,0.017322994
