Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (kPa),PPFD (micromol m-2 s-1),rv
2016-08-08 00:30:00,283.92,285.06,0.0,0.17,-47.07,-0.0079,0.0113,0.0056,1.4622,0.0989,101.2699966430664,101.2699966430664,0.011946502000000001
2016-08-08 01:00:00,282.76,284.52,0.16,0.29,-46.83,-0.0039,0.0054,0.0023,1.4416,0.0978,101.26499938964844,101.26499938964844,0.011573495
2016-08-08 01:30:00,282.29,284.36,0.0,0.27,-43.01,-0.0067,-0.0061,-0.0026,1.4087,0.0961,101.26000213623048,101.26000213623048,0.011535238
2016-08-08 02:00:00,281.78,283.93,0.2,0.45,-36.61,-0.0055,0.0009,0.0023,0.4016,0.0948,101.26499938964844,101.26499938964844,0.011095057
2016-08-08 02:30:00,281.5,283.74,0.15,0.47,-32.6,-0.0068,-0.0045,-0.0005,1.3533,0.0934,101.2699966430664,101.2699966430664,0.011005123
2016-08-08 03:00:00,280.91,282.85,0.0,0.1,-26.81,-0.0053,0.0007,0.0012,1.3241,0.092,101.28500366210938,101.28500366210938,0.010394797
2016-08-08 03:30:00,280.27,282.45,0.02,0.17,-22.84,-0.0044,0.0061,0.0031,1.2946,0.0906,101.3000030517578,101.3000030517578,0.010079561
2016-08-08 04:00:00,280.95,282.88,0.0,0.32,-18.64,-0.0115,-0.0065,-0.0047,1.2546,0.0888,101.30500030517578,101.30500030517578,0.010378583
2016-08-08 04:30:00,281.87,284.17,0.65,0.78,-11.29,-0.001,-0.0018,-0.0005,1.2037,0.0867,101.30999755859376,101.30999755859376,0.011345083
2016-08-08 05:00:00,282.61,284.17,0.12,0.28,-16.92,-0.0006,-0.0001,0.0004,1.1796,0.0857,101.33499908447266,101.33499908447266,0.011553943
2016-08-08 05:30:00,283.44,284.68,0.73,1.13,5.08,-0.0093,-0.0004,0.0024,1.1478,0.0845,101.36000061035156,101.36000061035156,0.012043757
