Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (kPa),PPFD (micromol m-2 s-1),rv
2016-06-20 00:30:00,281.85,283.58,0.0,0.19,-44.16,-0.0079,-0.0003,-0.0001,1.0141,0.0798,102.30999755859376,102.30999755859376,0.010871324
2016-06-20 01:00:00,281.08,283.31,0.05,0.21,-34.99,-0.0017,-0.0032,-0.0022,0.9787,0.3083,102.28500366210938,102.28500366210938,0.010696228
2016-06-20 01:30:00,280.78,282.42,0.0,0.25,-30.35,-0.0202,0.0136,0.002,0.9484,0.0779,102.26000213623048,102.26000213623048,0.010261206
2016-06-20 02:00:00,280.22,282.27,0.01,0.2,-26.46,-0.0023,-0.0005,0.0005,0.915,0.0769,102.23500061035156,102.23500061035156,0.010122134000000001
2016-06-20 02:30:00,280.0,281.63,0.12,0.3,-23.21,-0.0022,-0.0018,-0.0002,1.5337,0.0761,102.20999908447266,102.20999908447266,0.009751658000000002
2016-06-20 03:00:00,279.77,281.32,0.05,0.26,-19.64,-0.0065,0.0059,0.0022,0.8471,0.0753,102.1999969482422,102.1999969482422,0.009550019000000002
2016-06-20 03:30:00,279.84,281.66,0.0,0.14,-17.13,-0.0294,0.0197,0.0027,0.8142,0.0745,102.19000244140624,102.19000244140624,0.009817764999999999
2016-06-20 04:00:00,279.89,281.05,0.0,0.18,-14.62,-0.0024,-0.0003,0.0,0.7807,0.0769,102.19000244140624,102.19000244140624,0.009560156
2016-06-20 04:30:00,279.96,281.08,0.0,0.09,-8.01,-0.0406,-0.0161,-0.0079,0.7484,0.0732,102.19000244140624,102.19000244140624,0.009672380000000001
2016-06-20 05:00:00,281.46,282.43,0.45,0.57,17.17,-0.0009,-0.005,-0.0029,0.7022,0.0724,102.1750030517578,102.1750030517578,0.0105852165
