Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (hPa),PPFD (micromol m-2 s-1),rv
2016-08-11 00:30:00,283.66,286.05,0.33,0.46,-24.5,-0.0029,0.002,0.0019,1.6079,0.1073,101.83999633789062,101.83999633789062,0.013205561
2016-08-11 01:00:00,283.51,285.39,0.0,0.07,-21.17,-0.0168,0.0063,0.0034,1.5737,0.1052,101.83999633789062,101.83999633789062,0.012718343000000002
2016-08-11 01:30:00,283.17,285.28,0.1,0.26,-19.35,-0.0034,0.0013,-0.0003,1.5422,0.1034,101.83999633789062,101.83999633789062,0.012630571
2016-08-11 02:00:00,283.23,284.97,0.0,0.42,-16.7,-0.0134,-0.0022,0.0004,1.5089,0.3469,101.8499984741211,101.8499984741211,0.012360416
2016-08-11 02:30:00,283.04,285.02,0.0,0.19,-15.03,-0.0028,-0.0004,0.0004,1.4823,0.1,101.86000061035156,101.86000061035156,0.012237831
2016-08-11 03:00:00,282.67,284.55,0.0,0.07,-13.72,-0.0077,0.0088,0.0019,1.4539,0.0985,101.86499786376952,101.86499786376952,0.012121700000000001
2016-08-11 03:30:00,282.51,284.31,0.0,0.1,-13.5,-0.002,-0.0013,-0.0003,1.4222,0.0968,101.87000274658205,101.87000274658205,0.011981418
2016-08-11 04:00:00,282.39,283.94,0.0,0.2,-13.1,-0.0044,-0.0002,0.0006,1.3918,0.0329,101.88500213623048,101.88500213623048,0.011715389
2016-08-11 04:30:00,282.26,283.6,0.06,0.23,-12.76,-0.002,0.0001,-0.0006,1.3653,0.0939,101.9000015258789,101.9000015258789,0.011469727
2016-08-11 05:00:00,282.2,283.11,0.08,0.21,-11.85,-0.0019,0.0005,-0.0,1.3393,0.032,101.91500091552734,101.91500091552734,0.011152483999999999
2016-08-11 05:30:00,282.24,283.39,0.0,0.1,-3.28,-0.0023,0.0002,-0.0014,0.6219,0.0913,101.93000030517578,101.93000030517578,0.011495756999999999
2016-08-11 06:00:00,284.51,284.38,0.06,0.17,15.08,-0.0007,-0.0124,0.0178,1.2759,0.0898,101.9499969482422,101.9499969482422,0.011961323999999999
2016-08-11 06:30:00,289.22,287.69,0.38,0.39,64.48,-0.0002,0.0035,0.0095,1.2189,0.0873,101.97000122070312,101.97000122070312,0.014098876000000002
2016-08-11 07:00:00,292.77,289.34,0.62,0.82,138.43,-0.0087,0.0215,0.0039,2.0265,0.0839,101.98500061035156,101.98500061035156,0.017737421000000003
2016-08-11 07:30:00,296.73,290.78,0.61,0.87,186.41,-0.0135,0.0333,0.0096,2.1117,0.1243,102.0,102.0,0.016480476
2016-08-11 08:00:00,296.01,292.35,1.17,1.81,260.64,-0.0496,0.0648,0.0124,1.2026,0.0773,102.00499725341795,102.00499725341795,0.016306532000000002
2016-08-11 08:30:00,297.14,293.01,1.15,1.7,326.08,-0.0428,0.078,0.0159,-2.3347,0.1026,102.01000213623048,102.01000213623048,0.016084494
2016-08-11 09:00:00,297.78,293.58,1.38,1.99,388.94,-0.0536,0.1191,0.0266,-2.4311,0.1263,102.01000213623048,102.01000213623048,0.016175304
2016-08-11 09:30:00,298.5,294.15,1.64,2.36,448.08,-0.0682,0.127,0.0263,-2.358,0.0841,102.01000213623048,102.01000213623048,0.016395624
2016-08-11 10:00:00,299.38,294.53,1.74,2.54,500.23,-0.0799,0.1502,0.0387,-3.8469,0.0659,102.0199966430664,102.0199966430664,0.01627684
2016-08-11 10:30:00,299.38,294.69,2.0,2.97,544.84,-0.1032,0.1464,0.0338,-2.1224,0.0753,102.02999877929688,102.02999877929688,0.016215382
2016-08-11 11:00:00,300.45,295.11,2.13,3.21,579.44,-0.1256,0.1903,0.0514,-2.4239,0.0905,102.0250015258789,102.0250015258789,0.016311983000000002
2016-08-11 11:30:00,299.74,295.47,1.97,2.98,602.95,-0.1107,0.1623,0.0435,-2.3239,0.0764,102.0199966430664,102.0199966430664,0.016249657
2016-08-11 12:00:00,300.4,295.61,2.13,3.17,618.1,-0.1184,0.1825,0.0514,-1.5957,0.0808,102.0,102.0,0.016227764000000002
2016-08-11 12:30:00,299.56,296.15,2.07,3.24,623.03,-0.1398,0.1886,0.054,-2.342,0.0883,101.9800033569336,101.9800033569336,0.016562946000000002
2016-08-11 13:00:00,299.98,296.43,2.16,3.38,617.51,-0.1477,0.1863,0.0603,-1.856,0.0951,101.95999908447266,101.95999908447266,0.016319735000000002
2016-08-11 13:30:00,301.19,296.9,2.22,3.32,600.51,-0.1254,0.1749,0.0545,-2.9579,0.0838,101.94000244140624,101.94000244140624,0.016483550000000003
2016-08-11 14:00:00,300.33,296.99,2.24,3.44,573.55,-0.1417,0.17,0.0606,-2.1662,0.0931,101.91999816894533,101.91999816894533,0.016367086
2016-08-11 14:30:00,301.3,297.24,1.94,3.29,535.76,-0.1721,0.1951,0.0709,-2.2541,0.1025,101.9000015258789,101.9000015258789,0.01624128
2016-08-11 15:00:00,301.78,297.32,2.3,3.35,489.82,-0.1133,0.1439,0.0477,-1.2395,0.0629,101.87999725341795,101.87999725341795,0.015941226
2016-08-11 15:30:00,301.78,297.58,2.25,3.5,435.41,-0.1466,0.1542,0.0487,-2.2381,0.0815,101.86000061035156,101.86000061035156,0.01585179
2016-08-11 16:00:00,301.68,297.95,2.09,3.23,372.36,-0.124,0.1233,0.0518,-0.6999,0.0746,101.83499908447266,101.83499908447266,0.015654879
2016-08-11 16:30:00,301.05,297.86,2.14,3.23,303.83,-0.1129,0.1061,0.0416,-0.9946,0.079,101.80999755859376,101.80999755859376,0.015640178
2016-08-11 17:00:00,300.61,297.96,1.79,2.85,229.91,-0.1039,0.0804,0.034,-1.1147,0.0523,101.79000091552734,101.79000091552734,0.015744177
2016-08-11 17:30:00,299.51,297.54,1.57,2.79,157.58,-0.1222,0.0639,0.033,-0.711,0.0778,101.7699966430664,101.7699966430664,0.015743570000000002
2016-08-11 18:00:00,299.31,297.58,1.41,2.34,83.38,-0.0741,0.038,0.0222,-0.9689,0.0709,101.75,101.75,0.015675774
2016-08-11 18:30:00,297.26,296.79,1.43,2.42,16.05,-0.0735,0.0152,0.0178,0.4182,0.0521,101.7300033569336,101.7300033569336,0.015472391
2016-08-11 19:00:00,295.41,296.07,1.2,2.19,-35.51,-0.0422,-0.0154,0.0077,1.4139,0.091,101.7300033569336,101.7300033569336,0.015156388
2016-08-11 19:30:00,293.91,295.17,0.72,1.73,-62.06,-0.0328,-0.0196,0.0041,1.3098,0.0447,101.7300033569336,101.7300033569336,0.015007863000000001
2016-08-11 20:00:00,292.5,294.29,0.46,1.62,-68.22,-0.0196,-0.0239,0.0015,2.5452,0.1374,101.7249984741211,101.7249984741211,0.015338657
2016-08-11 20:30:00,292.18,293.99,0.55,1.68,-67.66,-0.0327,-0.0274,0.0023,2.6935,0.0189,101.72000122070312,101.72000122070312,0.015368874
2016-08-11 21:00:00,291.36,293.5,0.7,0.78,-62.13,-0.0004,-0.0054,0.0014,2.005,0.1355,101.73500061035156,101.73500061035156,0.015273518
2016-08-11 21:30:00,288.79,290.87,0.05,0.52,-53.48,-0.0144,-0.0023,-0.0004,0.5464,0.1331,101.75,101.75,0.015015368000000001
2016-08-11 22:00:00,287.73,289.12,0.47,0.69,-50.91,-0.0032,-0.003,-0.0002,3.4684,0.036,101.74500274658205,101.74500274658205,0.014679568
2016-08-11 22:30:00,287.26,288.89,0.54,0.7,-52.81,-0.0016,-0.0031,0.0008,1.9035,0.1275,101.73999786376952,101.73999786376952,0.014746851
2016-08-11 23:00:00,286.82,289.0,0.56,0.68,-51.98,-0.003,0.0031,0.0011,1.8727,0.1252,101.74500274658205,101.74500274658205,0.014829781
2016-08-11 23:30:00,286.0,288.58,0.01,0.32,-50.16,-0.0123,0.0091,0.0043,1.8429,0.123,101.75,101.75,0.014622767
2016-08-12 00:00:00,285.38,288.21,0.1,0.29,-46.35,-0.0036,0.0006,0.0017,1.3846,0.1212,101.76499938964844,101.76499938964844,0.014536911
