Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (kPa),PPFD (micromol m-2 s-1),rv
2016-07-28 00:30:00,289.68,290.74,0.57,1.54,-58.71,-0.0234,-0.0168,-0.0011,2.8903,0.1721,101.80999755859376,101.80999755859376,0.016557673999999998
2016-07-28 01:00:00,289.57,290.69,0.69,1.43,-58.52,-0.0165,-0.0077,0.0023,2.2164,0.1537,101.8000030517578,101.8000030517578,0.016483912
2016-07-28 01:30:00,289.02,290.23,0.82,1.0,-56.89,-0.0022,-0.0069,0.0007,1.5971,0.057,101.79000091552734,101.79000091552734,0.016280872
2016-07-28 02:00:00,288.52,290.15,0.51,0.76,-55.33,-0.0043,-0.0044,-0.0008,0.355,0.1495,101.80999755859376,101.80999755859376,0.016100107000000002
2016-07-28 02:30:00,287.86,290.87,0.58,0.66,-52.13,-0.0011,0.0007,0.0001,2.1439,0.1472,101.83000183105467,101.83000183105467,0.016217781
2016-07-28 03:00:00,287.29,290.18,0.35,0.42,-49.85,-0.0021,0.0079,0.0023,2.1214,0.1452,101.83999633789062,101.83999633789062,0.015742985
2016-07-28 03:30:00,286.62,289.28,0.12,0.21,-46.71,-0.0028,0.0065,0.0032,2.0988,0.1433,101.8499984741211,101.8499984741211,0.015162124
2016-07-28 04:00:00,285.91,288.01,0.0,0.27,-40.73,-0.0108,-0.0004,0.0014,2.0772,0.1414,101.86000061035156,101.86000061035156,0.014306841
2016-07-28 04:30:00,285.33,287.69,0.0,0.21,-31.21,-0.0225,0.0095,0.007,2.0449,0.1387,101.87000274658205,101.87000274658205,0.014050752
2016-07-28 05:00:00,285.09,286.89,0.0,0.08,-21.38,-0.0127,0.0041,0.0033,2.0109,0.1359,101.88500213623048,101.88500213623048,0.013524159
2016-07-28 05:30:00,286.09,287.84,0.79,0.83,3.95,-0.0014,0.0103,0.0031,1.9747,0.133,101.9000015258789,101.9000015258789,
2016-07-28 06:00:00,290.97,290.96,1.08,1.73,20.01,-0.0229,-0.0026,0.0029,1.908,0.0961,101.91000366210938,101.91000366210938,
