Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (kPa),PPFD (micromol m-2 s-1),rv
2015-07-28 00:30:00,284.69,286.56,0.0,0.1,-40.8,-0.0101,-0.0033,-0.0021,1.5385,0.1032,102.25,102.25,0.013403552
2015-07-28 01:00:00,284.13,286.08,0.0,0.16,-36.39,-0.002,-0.0008,0.0006,1.5279,0.1026,102.26499938964844,102.26499938964844,0.013117094
2015-07-28 01:30:00,283.94,285.63,0.0,0.02,-36.87,-0.016,-0.014,-0.0069,1.5046,0.1013,102.27999877929688,102.27999877929688,0.012983446000000001
2015-07-28 02:00:00,283.66,285.3,0.0,0.13,-38.93,-0.014,0.0096,0.0051,1.4734,0.0995,102.30500030517578,102.30500030517578,0.012761604000000001
2015-07-28 02:30:00,283.3,284.69,0.0,0.13,-46.26,-0.0113,-0.0111,-0.0024,1.4534,0.0985,102.33000183105467,102.33000183105467,0.012198742
2015-07-28 03:00:00,282.55,284.39,0.0,0.09,-44.92,-0.0234,0.0037,-0.0008,1.4322,0.0973,102.34500122070312,102.34500122070312,0.01188955
2015-07-28 03:30:00,281.93,284.0,0.0,0.08,-36.81,-0.0199,-0.0225,-0.0118,1.4032,0.0959,102.36000061035156,102.36000061035156,0.011764214
2015-07-28 04:00:00,281.42,283.98,0.0,0.36,-32.52,-0.0124,-0.0237,-0.0046,1.3742,0.0944,102.37000274658205,102.37000274658205,0.01184429
2015-07-28 04:30:00,281.55,284.17,0.03,0.31,-31.52,-0.0051,-0.012,-0.0012,1.3413,0.0928,102.37999725341795,102.37999725341795,0.011940592000000002
2015-07-28 05:00:00,281.16,283.88,0.0,0.15,-23.89,-0.0083,-0.029,-0.0039,1.3153,0.0916,102.3949966430664,102.3949966430664,0.011639804
2015-07-28 05:30:00,282.32,284.18,0.0,0.33,-2.41,-0.0276,-0.049,-0.0216,1.283,0.0901,102.41000366210938,102.41000366210938,0.012548832000000001
2015-07-28 06:00:00,286.55,286.35,0.46,0.94,16.33,-0.0089,-0.0018,0.0007,1.3409,0.1221,102.4250030517578,102.4250030517578,0.0136747465
2015-07-28 06:30:00,289.33,288.41,0.41,0.98,63.74,-0.0121,-0.0032,0.0068,1.1888,0.137,102.44000244140624,102.44000244140624,0.013975681
2015-07-28 07:00:00,290.65,289.56,1.2,1.63,136.21,-0.0219,0.019,0.0106,-0.202,0.0967,102.4499969482422,102.4499969482422,0.014229733
2015-07-28 07:30:00,292.02,290.56,1.15,1.48,211.44,-0.0204,0.049,0.0166,-2.5413,0.0891,102.45999908447266,102.45999908447266,0.0143358345
2015-07-28 08:00:00,293.07,291.26,1.4,1.81,276.77,-0.0273,0.0552,0.0183,-1.7387,0.0934,102.47000122070312,102.47000122070312,0.014274803
2015-07-28 08:30:00,293.73,291.88,1.38,1.67,339.78,-0.0184,0.0697,0.0215,-2.0265,0.0937,102.4800033569336,102.4800033569336,0.014302265
2015-07-28 09:00:00,294.23,292.49,1.37,1.79,402.7,-0.0317,0.0875,0.0326,-2.5597,0.106,102.47000122070312,102.47000122070312,0.014543633
2015-07-28 09:30:00,294.64,292.91,1.36,1.8,472.73,-0.0348,0.1005,0.0386,-1.9592,0.1044,102.45999908447266,102.45999908447266,0.014649388999999999
2015-07-28 10:00:00,294.98,293.39,0.94,1.56,519.46,-0.052,0.0938,0.0405,-2.0528,0.0855,102.45500183105467,102.45500183105467,0.014461546
2015-07-28 10:30:00,295.92,293.79,0.36,1.04,567.6,-0.0611,0.1128,0.0525,-2.4638,0.0999,102.4499969482422,102.4499969482422,0.014269058
