Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (kPa),PPFD (micromol m-2 s-1),rv
2016-07-26 00:30:00,287.68,288.58,0.22,0.42,-51.54,-0.0026,-0.0068,0.0009,1.1158,0.1529,,,0.014559206
2016-07-26 01:00:00,287.5,288.44,0.51,0.73,-53.45,-0.0029,-0.0061,0.0003,1.4898,0.1324,,,0.014539266
2016-07-26 01:30:00,287.3,288.28,0.45,0.73,-53.42,-0.0049,-0.0078,-0.0003,0.8889,0.1327,,,0.014345458
2016-07-26 02:00:00,287.11,288.05,0.56,0.86,-52.98,-0.0059,-0.0078,0.0001,1.8514,0.1529,,,0.014222242
2016-07-26 02:30:00,286.89,287.95,0.1,0.61,-52.72,-0.0072,-0.0025,0.0013,0.3585,0.0434,,,0.014129862
2016-07-26 03:00:00,286.22,287.72,0.38,0.63,-51.67,-0.0041,-0.0066,-0.0016,2.0098,0.2546,,,0.013977511
2016-07-26 03:30:00,286.13,287.49,0.07,0.3,-50.5,-0.0034,-0.0012,0.0007,0.2049,0.1376,,,0.013736281
2016-07-26 04:00:00,285.39,286.99,0.0,0.14,-42.6,-0.0123,-0.0071,0.0007,1.4303,0.1353,,,0.013420829
2016-07-26 04:30:00,285.19,286.79,0.38,0.52,-34.2,-0.0012,-0.0034,-0.0001,1.9653,0.1323,,,0.013303043
2016-07-26 05:00:00,284.9,286.5,0.0,0.2,-26.88,-0.0065,0.0026,0.0003,1.9349,0.1299,,,0.013096443000000001
2016-07-26 05:30:00,285.07,286.45,0.23,0.39,1.68,-0.0039,0.0025,0.0032,3.2983,0.3435,,,0.013349895
2016-07-26 06:00:00,287.24,287.45,0.58,0.96,33.41,-0.0109,0.001,0.0009,0.9965,0.2287,,,0.014150701
2016-07-26 06:30:00,288.31,288.32,0.73,1.22,48.58,-0.022,0.0074,0.0008,1.8192,0.2043,,,0.014358269
2016-07-26 07:00:00,288.63,288.73,0.95,1.57,78.09,-0.0341,0.0121,0.001,-2.3758,0.1194,,,0.01456437
2016-07-26 07:30:00,289.06,289.03,1.07,1.69,104.76,-0.0368,0.02,0.0034,-2.8678,0.1324,,,0.014530620000000001
2016-07-26 08:00:00,289.99,289.66,1.21,1.75,178.59,-0.0377,0.0491,0.0072,-3.193,0.1266,,,0.014692633000000002
2016-07-26 08:30:00,291.95,290.44,1.39,2.06,329.87,-0.0613,0.1173,0.0198,-3.2106,0.1398,,,0.014835602
2016-07-26 09:00:00,293.51,291.4,1.44,2.09,447.36,-0.0611,0.1518,0.0259,-2.7947,0.1391,,,0.014971642
2016-07-26 09:30:00,293.79,291.97,1.78,2.59,485.57,-0.084,0.1729,0.0298,-2.7835,0.1409,,,0.015054864000000001
2016-07-26 10:00:00,293.84,292.22,2.02,3.16,566.11,-0.1389,0.2032,0.0348,-3.0514,0.1398,,,0.015019522
2016-07-26 10:30:00,294.26,292.5,2.16,3.27,579.26,-0.1305,0.1869,0.0331,-3.8986,0.1281,,,0.015117806000000001
2016-07-26 11:00:00,294.99,293.13,1.97,2.88,608.78,-0.0987,0.1731,0.0349,-1.634,0.1178,,,0.015449118000000001
2016-07-26 11:30:00,295.59,293.62,1.8,2.77,631.7,-0.111,0.2049,0.0435,-2.6917,0.1365,,,0.015746974
2016-07-26 12:00:00,295.83,293.81,1.85,2.85,645.62,-0.1211,0.2415,0.0603,-3.1476,0.1603,,,0.01602046
2016-07-26 12:30:00,296.56,294.33,1.84,2.68,649.85,-0.095,0.2256,0.0603,-2.9995,0.1482,,,0.016361433
2016-07-26 13:00:00,297.2,295.13,1.28,1.92,642.38,-0.0647,0.2061,0.067,-2.4452,0.1483,,,0.016341103
2016-07-26 13:30:00,297.73,295.69,1.47,2.1,627.63,-0.0647,0.2196,0.0719,-2.2319,0.1569,,,0.016777443000000003
2016-07-26 14:00:00,297.3,295.58,1.85,2.89,606.07,-0.1213,0.1984,0.0615,-1.9106,0.145,,,0.016537409
2016-07-26 14:30:00,297.67,296.1,1.76,2.7,570.54,-0.1064,0.2066,0.0687,-1.8466,0.1745,,,0.016633453
2016-07-26 15:00:00,298.01,296.18,1.8,2.71,526.08,-0.0974,0.1769,0.0623,-2.3736,0.1545,,,0.016596354
2016-07-26 15:30:00,298.02,296.09,2.02,2.93,472.83,-0.0979,0.1685,0.0541,-2.1104,0.1528,,,0.016687024999999998
2016-07-26 16:00:00,297.56,295.83,2.13,3.25,415.0,-0.1266,0.1591,0.0503,-2.1346,0.1621,,,0.016438296999999998
2016-07-26 16:30:00,297.27,295.74,2.06,3.17,347.81,-0.1196,0.127,0.0396,-1.9912,0.15,,,0.016336159
2016-07-26 17:00:00,297.51,296.09,1.84,2.92,276.68,-0.1153,0.1296,0.0448,-2.2776,0.1833,,,0.01641395
2016-07-26 17:30:00,296.55,295.37,2.05,3.17,207.63,-0.115,0.0917,0.0255,-1.1113,0.161,,,0.016352169
2016-07-26 18:00:00,295.97,295.22,1.72,2.79,137.13,-0.1026,0.0738,0.0276,-1.3388,0.1854,,,0.015991014
2016-07-26 18:30:00,295.26,294.93,1.61,2.66,68.7,-0.09,0.039,0.0171,-0.2738,0.177,,,0.015573670999999999
2016-07-26 19:00:00,294.36,294.52,1.44,2.45,6.79,-0.0742,0.013,0.0129,0.3646,0.1758,,,0.015242373000000002
2016-07-26 19:30:00,292.93,293.3,1.04,1.95,-38.53,-0.0459,-0.0064,0.0048,1.3934,0.1747,,,0.015746182
2016-07-26 20:00:00,291.46,292.06,0.67,1.47,-60.06,-0.0178,-0.0097,0.0022,1.6643,0.1478,,,0.015695142000000002
2016-07-26 20:30:00,290.2,291.06,0.03,1.09,-62.2,-0.0072,-0.0101,0.0001,1.9483,0.1454,,,0.015296158
2016-07-26 21:00:00,289.24,290.66,0.58,0.75,-58.59,-0.002,-0.0071,-0.0005,2.4019,0.2578,,,0.015241981
2016-07-26 21:30:00,288.62,290.21,0.44,0.58,-56.21,-0.0013,-0.0057,-0.0013,2.3745,0.1687,,,0.015021756
2016-07-26 22:00:00,288.7,290.1,0.14,0.66,-55.66,-0.0051,-0.0024,-0.0005,2.3427,0.1656,,,0.014896169
2016-07-26 22:30:00,287.83,289.4,0.02,0.21,-51.91,-0.0024,-0.004,-0.0002,2.3161,0.163,,,0.014731557000000001
2016-07-26 23:00:00,286.9,288.83,0.0,0.23,-48.92,-0.01,0.0052,0.0009,2.2815,0.1597,,,0.014717047
