Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (hPa),PPFD (micromol m-2 s-1),rv
2016-07-27 00:30:00,286.03,287.63,0.02,0.25,-40.92,-0.0035,-0.0005,-0.0001,0.4307,0.0596,,,0.013927351
2016-07-27 01:00:00,285.19,286.97,0.07,0.19,-34.65,-0.003,0.0047,0.0016,2.1438,0.1472,,,0.013410529000000001
2016-07-27 01:30:00,284.92,286.5,0.0,0.04,-28.98,-0.0119,0.01,0.0029,2.109,0.1441,,,0.01312421
2016-07-27 02:00:00,284.66,286.08,0.08,0.25,-25.29,-0.0019,-0.0022,-0.0011,2.751,0.1409,,,0.012827746
2016-07-27 02:30:00,284.28,285.57,0.0,0.13,-21.95,-0.0081,0.0011,-0.0001,2.0377,0.1381,,,0.012485229
2016-07-27 03:00:00,284.12,286.05,0.19,0.29,-19.6,-0.0032,0.0105,0.0014,1.9987,0.135,,,0.01257162
2016-07-27 03:30:00,284.15,286.41,0.38,0.51,-17.57,-0.0024,0.0014,0.0002,1.957,0.1316,,,0.012957718
2016-07-27 04:00:00,284.37,285.99,0.15,0.39,-16.16,-0.0072,0.004,0.0024,1.9255,0.1292,,,0.012861282
2016-07-27 04:30:00,284.19,285.7,0.21,0.39,-16.43,-0.0021,-0.0031,-0.0009,1.8921,0.1267,,,0.012582984
2016-07-27 05:00:00,284.19,285.75,0.0,0.19,-9.82,-0.0157,0.0077,0.0008,1.8612,0.1244,,,0.012588011
2016-07-27 05:30:00,285.0,285.62,0.28,0.41,10.2,-0.001,-0.0058,-0.0066,1.8268,0.1219,,,0.013031212
2016-07-27 06:00:00,287.62,287.41,0.0,0.14,79.22,-0.034,-0.0308,-0.0367,1.7786,0.1184,,,0.014749433
2016-07-27 06:30:00,289.35,288.65,0.27,0.49,118.07,-0.0088,0.0165,0.0087,0.6821,0.2269,,,0.0151599655
2016-07-27 07:00:00,291.58,290.3,0.48,0.67,128.49,-0.0101,0.0394,0.0146,-1.7118,0.1803,,,0.014850175
2016-07-27 07:30:00,292.89,291.83,0.47,0.79,185.16,-0.0202,0.0572,0.0192,-2.2702,0.3361,,,0.015439152000000001
2016-07-27 08:00:00,294.42,292.67,0.77,1.14,242.96,-0.0261,0.073,0.0208,-2.7473,0.1398,,,0.016336020000000003
2016-07-27 08:30:00,297.26,293.93,1.38,1.99,304.07,-0.0501,0.0838,0.0192,-1.5168,0.1727,,,0.016967793000000002
2016-07-27 09:00:00,297.77,294.18,1.57,2.14,315.84,-0.0461,0.0917,0.0255,-3.255,0.1446,,,0.017175459
2016-07-27 09:30:00,297.39,294.91,1.42,2.07,462.55,-0.0608,0.1379,0.0362,-3.6225,0.164,,,0.017140474000000003
2016-07-27 10:00:00,297.75,295.3,1.47,2.11,525.56,-0.0573,0.129,0.0303,-2.4121,0.1288,,,0.017091272
2016-07-27 10:30:00,298.45,295.73,1.58,2.23,572.3,-0.0634,0.1593,0.0454,-2.9546,0.1485,,,0.016835867
2016-07-27 11:00:00,299.88,296.48,1.13,1.89,602.91,-0.0771,0.1689,0.0584,-2.7854,0.1684,,,0.017023256
2016-07-27 11:30:00,301.18,296.72,1.3,2.03,625.92,-0.0749,0.1796,0.0699,-3.0711,0.1694,,,0.01722309
2016-07-27 12:00:00,301.04,297.05,1.43,2.22,641.22,-0.0823,0.187,0.0749,-3.0947,0.1696,,,0.017359137
2016-07-27 12:30:00,300.7,297.47,1.02,1.84,645.51,-0.0862,0.1878,0.0882,-3.1088,0.1988,,,0.01715487
2016-07-27 13:00:00,301.65,298.1,1.43,2.09,640.62,-0.067,0.1923,0.0882,-2.9011,0.1899,,,0.017382399
2016-07-27 13:30:00,301.37,298.41,1.7,2.57,626.81,-0.0931,0.1804,0.0756,-2.6146,0.178,,,0.017816088
2016-07-27 14:00:00,301.72,298.62,1.63,2.43,601.33,-0.0825,0.1635,0.0756,-2.1667,0.1762,,,0.017243097
2016-07-27 14:30:00,301.9,299.03,1.57,2.35,566.11,-0.0767,0.1449,0.0669,-1.4236,0.1751,,,0.017383366
2016-07-27 15:00:00,301.89,299.61,1.35,2.29,523.21,-0.0983,0.1478,0.0741,-1.8274,0.1758,,,0.017496359000000003
2016-07-27 15:30:00,302.01,299.69,1.52,2.38,450.46,-0.0837,0.1222,0.0609,-1.3512,0.169,,,0.017441977
2016-07-27 16:00:00,302.2,299.38,1.61,2.59,405.37,-0.0986,0.1152,0.0573,-1.3973,0.1746,,,0.016795802999999998
2016-07-27 16:30:00,301.97,299.36,1.73,2.5,342.13,-0.0685,0.0998,0.0486,-1.2489,0.1652,101.75,101.75,0.016391356
2016-07-27 17:00:00,301.55,299.36,1.61,2.52,270.71,-0.0835,0.0877,0.0443,-1.2897,0.1787,101.7300033569336,101.7300033569336,0.016208998000000002
2016-07-27 17:30:00,300.47,299.06,1.46,2.38,189.22,-0.0794,0.0584,0.0393,-0.7902,0.1798,101.70999908447266,101.70999908447266,0.01649803
2016-07-27 18:00:00,300.08,298.88,1.54,2.57,129.59,-0.0888,0.045,0.0261,-0.185,0.1784,101.6999969482422,101.6999969482422,0.016257235000000002
2016-07-27 18:30:00,298.43,298.37,1.05,1.96,54.65,-0.0647,0.0187,0.0217,-0.298,0.1707,101.69000244140624,101.69000244140624,0.016286222
2016-07-27 19:00:00,297.02,297.49,0.79,1.61,-7.55,-0.0439,0.0008,0.0135,0.763,0.1996,101.68499755859376,101.68499755859376,0.016474646
2016-07-27 19:30:00,295.92,296.85,0.43,1.21,-50.34,-0.0175,-0.0092,0.0051,1.183,0.1642,101.68000030517578,101.68000030517578,0.016389162
2016-07-27 20:00:00,294.35,295.68,0.42,0.53,-66.36,-0.0013,0.0002,-0.0003,2.4879,0.1803,101.69499969482422,101.69499969482422,0.016512928
2016-07-27 20:30:00,292.04,294.12,0.51,0.54,-63.56,-0.0005,0.0024,-0.0009,2.4995,0.1815,101.70999908447266,101.70999908447266,0.016362171000000002
2016-07-27 21:00:00,290.21,292.24,0.11,0.65,-59.96,-0.0037,-0.0022,-0.0006,1.3442,0.0803,101.73999786376952,101.73999786376952,0.015939807
2016-07-27 21:30:00,289.36,291.59,0.36,0.65,-58.86,-0.0073,0.001,-0.0008,2.4096,0.1723,101.7699966430664,101.7699966430664,0.01551862
2016-07-27 22:00:00,289.77,291.59,0.74,0.97,-61.2,-0.0035,-0.0109,0.0043,1.7519,0.0172,101.78500366210938,101.78500366210938,0.016119461
2016-07-27 22:30:00,290.08,291.49,0.75,1.11,-62.87,-0.0084,-0.0138,0.0005,2.7872,0.2132,101.8000030517578,101.8000030517578,0.016968052
2016-07-27 23:00:00,290.13,291.4,0.62,0.92,-63.14,-0.0057,-0.0099,0.0001,2.0155,0.1881,101.80999755859376,101.80999755859376,0.017108053
2016-07-27 23:30:00,289.88,291.12,0.79,1.07,-60.89,-0.0051,-0.0083,0.0005,1.8813,0.1545,101.81999969482422,101.81999969482422,0.016997585000000003
2016-07-28 00:00:00,290.05,291.19,0.65,1.68,-61.36,-0.0218,-0.0194,0.0015,2.1814,0.1683,101.81500244140624,101.81500244140624,0.01678295
