Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (hPa),PPFD (micromol m-2 s-1),rv
2016-09-03 00:30:00,283.96,285.37,0.11,0.35,-11.7,-0.004,-0.0011,0.0023,1.6305,0.0347,101.47000122070312,101.47000122070312,0.012943665
2016-09-03 01:00:00,284.35,285.43,0.1,0.25,-11.79,-0.0008,-0.0001,-0.0,1.0989,0.0827,101.45999908447266,101.45999908447266,0.013036276000000001
2016-09-03 01:30:00,284.69,285.51,0.56,0.81,-15.83,-0.0042,-0.0049,0.0002,0.3388,0.1162,101.4499969482422,101.4499969482422,0.013109143
2016-09-03 02:00:00,284.98,286.07,0.33,1.25,-33.17,-0.0111,-0.0109,0.0009,2.5757,0.071,101.4499969482422,101.4499969482422,0.012889016
2016-09-03 02:30:00,284.67,285.77,0.75,1.06,-56.14,-0.0063,-0.0096,-0.0001,1.3421,0.0703,101.4499969482422,101.4499969482422,0.0121323
2016-09-03 03:00:00,284.48,285.5,0.27,1.17,-30.8,-0.0121,-0.011,-0.0001,1.8507,0.0897,101.45500183105467,101.45500183105467,0.012148193
2016-09-03 03:30:00,284.94,285.79,0.5,1.28,-20.13,-0.0153,-0.0086,-0.0002,1.2071,0.0534,101.45999908447266,101.45999908447266,0.012331101
2016-09-03 04:00:00,285.09,285.87,0.6,1.26,-16.07,-0.0116,-0.0054,0.0007,1.4408,0.0518,101.45500183105467,101.45500183105467,0.012498966
2016-09-03 04:30:00,285.36,286.06,0.79,1.61,-17.33,-0.0265,-0.0093,0.0001,1.9627,0.0657,101.4499969482422,101.4499969482422,0.012721619
2016-09-03 05:00:00,285.52,286.14,1.08,1.91,-20.21,-0.0266,-0.01,-0.001,1.1275,0.0565,101.4499969482422,101.4499969482422,0.012615309
2016-09-03 05:30:00,285.39,286.05,1.19,2.16,-23.29,-0.0449,-0.0122,-0.0002,1.5343,0.0785,101.4499969482422,101.4499969482422,0.012379761000000001
2016-09-03 06:00:00,285.45,286.1,0.61,1.25,-7.78,-0.0116,-0.0049,0.0,0.8733,0.0455,101.47000122070312,101.47000122070312,0.012358958
2016-09-03 06:30:00,285.51,286.1,0.83,1.59,7.08,-0.027,-0.0059,-0.0002,1.1836,0.0455,101.48999786376952,101.48999786376952,0.012611871
2016-09-03 07:00:00,285.4,285.93,0.84,1.1,17.53,-0.0042,-0.0081,-0.0033,-0.7543,0.0454,101.51499938964844,101.51499938964844,0.012945488
2016-09-03 07:30:00,285.45,285.9,0.94,1.76,34.46,-0.0221,-0.0104,0.002,0.8671,0.0454,101.54000091552734,101.54000091552734,0.013150709000000002
2016-09-03 08:00:00,285.77,286.11,1.12,1.68,80.96,-0.0244,0.0037,0.0009,1.3739,0.0454,101.55500030517578,101.55500030517578,0.013338103
2016-09-03 08:30:00,285.84,286.28,1.16,1.55,65.68,-0.0159,0.0075,0.0016,-0.0498,0.0453,101.56999969482422,101.56999969482422,0.013201846
2016-09-03 09:00:00,286.22,286.6,1.35,2.03,107.18,-0.041,0.0168,0.0008,-0.2809,0.0663,101.56999969482422,101.56999969482422,0.013320918000000001
2016-09-03 09:30:00,286.55,286.89,1.27,1.95,115.65,-0.0435,0.0236,0.0008,-0.9235,0.0662,101.56999969482422,101.56999969482422,0.013102779
2016-09-03 10:00:00,287.65,287.57,1.16,1.82,207.74,-0.0491,0.0531,0.0047,-2.1689,0.0616,101.56999969482422,101.56999969482422,0.013115184
2016-09-03 10:30:00,288.1,287.75,1.17,1.81,181.84,-0.0484,0.0568,0.0036,-1.5074,0.0645,101.56999969482422,101.56999969482422,0.013113744
2016-09-03 11:00:00,289.7,288.55,1.58,2.23,377.69,-0.0583,0.1189,0.0117,-3.0407,0.0588,101.58499908447266,101.58499908447266,0.01316655
2016-09-03 11:30:00,290.46,288.85,1.31,1.92,399.52,-0.055,0.1288,0.0147,-2.7234,0.06,101.5999984741211,101.5999984741211,0.013123672
2016-09-03 12:00:00,290.19,288.99,1.02,1.33,236.8,-0.0217,0.0882,0.0067,-1.9573,0.0643,101.6050033569336,101.6050033569336,0.013081279000000001
2016-09-03 12:30:00,291.81,289.87,1.04,1.47,514.56,-0.0393,0.173,0.0333,-2.7052,0.0643,101.61000061035156,101.61000061035156,0.013365766000000001
2016-09-03 13:00:00,292.93,290.66,1.09,1.49,529.32,-0.0366,0.184,0.043,-2.4112,0.0553,101.58999633789062,101.58999633789062,0.013226586
2016-09-03 13:30:00,293.34,291.08,1.2,1.29,483.81,-0.007,0.1752,0.0535,-0.7528,0.0584,101.56999969482422,101.56999969482422,0.013219702
2016-09-03 14:00:00,292.26,290.9,1.26,1.89,329.75,-0.0582,0.1423,0.0298,-1.6772,0.1007,101.5500030517578,101.5500030517578,0.013719977
2016-09-03 14:30:00,292.97,291.28,1.36,1.92,396.32,-0.0516,0.1488,0.0336,-2.1901,0.0191,101.52999877929688,101.52999877929688,0.013725667
2016-09-03 15:00:00,293.66,291.79,1.07,1.87,509.61,-0.0879,0.2208,0.0417,-3.2041,0.0734,101.5,101.5,0.014001943000000001
2016-09-03 15:30:00,294.3,292.03,1.17,1.99,399.03,-0.0837,0.1639,0.0423,-1.4367,0.1508,101.47000122070312,101.47000122070312,0.013551951000000001
2016-09-03 16:00:00,294.78,292.17,1.3,1.96,309.85,-0.0603,0.1301,0.0274,-0.9978,0.0693,101.46499633789062,101.46499633789062,0.013457048000000001
2016-09-03 16:30:00,294.98,292.15,1.28,1.91,217.98,-0.0543,0.1023,0.0255,-1.1921,0.0849,101.45999908447266,101.45999908447266,0.012617271000000001
2016-09-03 17:00:00,293.34,291.78,1.51,2.33,135.22,-0.0695,0.065,0.015,-0.6119,0.0767,101.4499969482422,101.4499969482422,0.012247936
2016-09-03 17:30:00,292.54,291.46,1.25,2.0,54.4,-0.0538,0.036,0.0121,-0.2142,0.0706,101.44000244140624,101.44000244140624,0.011905174000000001
2016-09-03 18:00:00,291.29,291.11,0.85,1.5,-14.27,-0.035,0.0103,0.0077,0.2512,0.0796,101.44000244140624,101.44000244140624,0.011909051
2016-09-03 18:30:00,289.69,290.32,0.38,1.06,-60.08,-0.013,-0.006,0.0021,0.6255,0.0733,101.44000244140624,101.44000244140624,0.012026607500000001
2016-09-03 19:00:00,287.61,288.99,0.5,0.73,-72.3,-0.0035,-0.0043,-0.0,0.3356,0.0353,101.4499969482422,101.4499969482422,0.012317276
2016-09-03 19:30:00,285.23,287.46,0.2,0.42,-69.33,-0.0047,0.001,0.0021,-0.0865,0.1811,101.45999908447266,101.45999908447266,0.012407459
2016-09-03 20:00:00,283.94,286.53,0.18,0.42,-67.11,-0.0036,-0.0063,-0.0018,1.3477,0.0931,101.47000122070312,101.47000122070312,0.012259204000000001
2016-09-03 20:30:00,282.93,286.14,0.54,0.7,-65.13,-0.0045,0.0046,0.0016,1.314,0.0915,101.4800033569336,101.4800033569336,0.012454585
2016-09-03 21:00:00,282.1,284.73,0.0,0.19,-62.43,-0.0116,-0.0014,-0.0046,1.3811,0.0903,101.48999786376952,101.48999786376952,0.0113832855
2016-09-03 21:30:00,281.36,283.33,0.0,0.2,-54.35,-0.0169,-0.0069,-0.0054,2.1577,0.1934,101.5,101.5,0.010823329
2016-09-03 22:00:00,280.94,283.08,0.0,0.18,-40.26,-0.0081,-0.0066,-0.0042,1.2243,0.3131,101.5,101.5,0.010784282
2016-09-03 22:30:00,280.36,281.88,0.0,0.15,-27.6,-0.0024,-0.0001,-0.0004,1.6977,0.0391,101.5,101.5,0.010114075
2016-09-03 23:00:00,280.49,281.83,0.0,0.09,-18.49,-0.0065,0.0028,0.0004,1.1516,0.0846,101.49500274658205,101.49500274658205,0.010206633
2016-09-03 23:30:00,281.16,282.09,0.0,0.2,-14.51,-0.0063,0.0017,-0.0,1.1041,0.0829,101.48999786376952,101.48999786376952,0.010468594
2016-09-04 00:00:00,281.3,282.66,0.34,0.54,-15.8,-0.0026,-0.0026,-0.002,3.5459,0.1783,101.48999786376952,101.48999786376952,0.010905070000000001
