Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (kPa),PPFD (micromol m-2 s-1),rv
2016-08-13 00:30:00,285.41,286.9,0.0,0.12,-20.44,-0.0082,0.0092,0.002,1.944,0.1306,101.5199966430664,101.5199966430664,0.014060752000000001
2016-08-13 01:00:00,285.47,287.06,0.3,0.44,-15.32,-0.0023,0.0005,0.0008,1.9074,0.1278,101.50499725341795,101.50499725341795,0.014309487000000001
2016-08-13 01:30:00,285.85,287.45,0.0,0.27,-17.4,-0.0067,-0.0021,-0.0001,1.8716,0.1251,101.48999786376952,101.48999786376952,0.014628924
2016-08-13 02:00:00,285.71,287.67,0.51,0.63,-17.34,-0.0028,0.0026,0.0018,1.8384,0.1227,101.48500061035156,101.48500061035156,0.014816601
2016-08-13 02:30:00,286.51,288.62,0.54,0.75,-14.62,-0.0027,-0.0048,-0.0034,1.802,0.2559,101.4800033569336,101.4800033569336,0.015682076
2016-08-13 03:00:00,286.72,288.58,0.4,0.48,-13.76,-0.0019,0.0044,0.0021,1.7787,0.1185,101.48999786376952,101.48999786376952,0.015586389
2016-08-13 03:30:00,286.4,287.89,0.1,0.34,-13.34,-0.0046,0.0004,0.0006,1.6025,0.1172,101.5,101.5,0.014968112
2016-08-13 04:00:00,286.11,287.61,0.0,0.14,-10.36,-0.0339,-0.0008,-0.0008,1.8111,0.1155,101.50499725341795,101.50499725341795,0.014819081000000001
2016-08-13 04:30:00,286.44,288.12,0.15,0.29,-11.19,-0.0035,0.0029,0.0018,1.7026,0.1133,101.51000213623048,101.51000213623048,0.015182288
2016-08-13 05:00:00,286.16,288.7,0.11,0.28,-12.55,-0.0017,-0.0004,0.0011,1.6798,0.1118,101.5199966430664,101.5199966430664,0.01549285
2016-08-13 05:30:00,286.01,289.16,0.42,0.49,-6.38,-0.0018,0.0059,0.0022,1.6541,0.1102,101.52999877929688,101.52999877929688,0.015916337
2016-08-13 06:00:00,286.4,289.2,0.0,0.17,6.18,-0.0083,0.0118,0.0009,1.6288,0.1086,101.54499816894533,101.54499816894533,0.016186810000000003
2016-08-13 06:30:00,288.55,289.13,0.0,0.2,57.58,-0.0089,-0.0227,0.0165,1.6084,0.1073,101.55999755859376,101.55999755859376,0.01469906
2016-08-13 07:00:00,293.55,291.44,0.22,0.41,141.85,-0.0077,0.0167,0.0015,2.2215,0.1557,101.56500244140624,101.56500244140624,0.019023794
2016-08-13 07:30:00,299.84,293.62,0.38,0.7,179.44,-0.0172,0.0293,0.0147,2.0722,0.0783,101.56999969482422,101.56999969482422,0.018065542
2016-08-13 08:00:00,301.76,295.24,0.44,0.85,221.9,-0.0258,0.0475,0.0153,1.0417,0.0942,101.56999969482422,101.56999969482422,0.017440017999999998
2016-08-13 08:30:00,302.61,296.5,0.47,0.77,327.08,-0.0204,0.0755,0.028,0.3538,0.113,101.56999969482422,101.56999969482422,0.016863838000000003
2016-08-13 09:00:00,302.51,297.83,0.31,0.71,383.09,-0.0301,0.0964,0.0324,-1.8657,0.0616,101.56500244140624,101.56500244140624,0.01660357
