Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (hPa),PPFD (micromol m-2 s-1),rv
2016-08-21 00:30:00,285.31,287.87,0.23,0.36,-33.89,-0.0038,0.0067,0.0024,2.0443,0.1387,100.76000213623048,100.76000213623048,0.014737049
2016-08-21 01:00:00,284.84,287.23,0.14,0.36,-30.78,-0.0031,-0.0015,0.0013,3.3959,0.1137,100.75499725341795,100.75499725341795,0.014110639000000001
2016-08-21 01:30:00,284.43,287.21,0.05,0.26,-29.72,-0.0072,0.0088,0.0021,1.9716,0.1328,100.75,100.75,0.014164281
2016-08-21 02:00:00,284.01,286.95,0.34,0.47,-27.54,-0.0038,0.0053,0.0006,1.9382,0.1302,100.73999786376952,100.73999786376952,0.013998948
2016-08-21 02:30:00,283.82,286.19,0.18,0.28,-24.78,-0.002,0.0016,0.0013,1.904,0.1276,100.7300033569336,100.7300033569336,0.013447234
2016-08-21 03:00:00,283.83,285.82,0.11,0.44,-21.73,-0.0072,-0.0025,0.0013,1.8085,0.125,100.7249984741211,100.7249984741211,0.013011221000000002
2016-08-21 03:30:00,283.75,286.33,0.13,0.31,-19.2,-0.004,0.0016,0.0001,1.8384,0.1227,100.72000122070312,100.72000122070312,0.013507796
2016-08-21 04:00:00,283.18,286.56,0.7,0.8,-17.65,-0.0009,0.0001,0.0004,1.7962,0.1197,100.71499633789062,100.71499633789062,0.013812026
2016-08-21 04:30:00,283.45,286.04,0.0,0.25,-16.65,-0.0134,0.0045,0.0008,1.7676,0.1177,100.70999908447266,100.70999908447266,0.013353285
2016-08-21 05:00:00,282.79,285.41,0.13,0.23,-15.32,-0.0025,0.0048,0.0025,1.7414,0.1159,100.7249984741211,100.7249984741211,0.012784238
2016-08-21 05:30:00,282.84,285.32,0.18,0.44,-10.43,-0.0067,0.0018,-0.001,1.7129,0.114,100.73999786376952,100.73999786376952,0.012565080000000001
2016-08-21 06:00:00,285.23,286.6,0.58,0.76,8.24,-0.0044,0.0022,-0.0044,1.6633,0.1108,100.74500274658205,100.74500274658205,0.012897294
2016-08-21 06:30:00,288.08,288.35,0.94,1.64,50.13,-0.025,-0.0041,0.023,1.6183,0.0589,100.75,100.75,0.015603321
2016-08-21 07:00:00,289.48,289.37,1.22,2.26,83.88,-0.065,-0.0055,0.0126,-3.092,0.1448,100.7750015258789,100.7750015258789,0.016011677
2016-08-21 07:30:00,291.38,290.71,1.56,2.48,154.24,-0.0692,0.0245,0.0096,-0.5639,0.1105,100.8000030517578,100.8000030517578,0.014299104
2016-08-21 08:00:00,292.55,291.68,1.6,2.44,205.22,-0.0682,0.0549,0.0119,-1.5538,0.1177,100.80999755859376,100.80999755859376,0.013855388
