Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (hPa),PPFD (micromol m-2 s-1),rv
2016-08-23 00:30:00,280.65,282.45,0.08,0.17,-25.32,-0.0013,0.0004,0.0001,1.4621,0.0989,101.98999786376952,101.98999786376952,0.010330281
2016-08-23 01:00:00,280.29,281.67,0.0,0.17,-22.32,-0.0019,-0.0004,0.0,1.4253,0.097,101.99500274658205,101.99500274658205,0.009905927
2016-08-23 01:30:00,279.98,281.55,0.0,0.09,-21.09,-0.0035,-0.0008,0.0003,2.9561,0.3047,102.0,102.0,0.009850301
2016-08-23 02:00:00,279.83,281.57,0.0,0.09,-19.26,-0.0016,-0.0031,-0.0005,1.3507,0.0932,102.0,102.0,0.00988602
2016-08-23 02:30:00,279.65,280.98,0.19,0.3,-17.31,-0.0008,-0.0004,-0.0001,1.3215,0.0918,102.0,102.0,0.0095041685
2016-08-23 03:00:00,279.62,280.76,0.31,0.35,-16.93,-0.0007,0.0014,0.0004,1.2863,0.0902,102.01000213623048,102.01000213623048,0.009390003000000001
2016-08-23 03:30:00,279.17,280.81,0.01,0.22,-15.22,-0.0054,0.0019,0.0005,1.2535,0.0888,102.0199966430664,102.0199966430664,0.0093849945
2016-08-23 04:00:00,278.97,280.67,0.0,0.05,-15.17,-0.0105,0.0012,-0.0,1.2185,0.0873,102.0500030517578,102.0500030517578,0.009305387
2016-08-23 04:30:00,278.97,280.79,0.0,0.07,-14.6,-0.0575,0.0145,0.0079,1.1814,0.0858,102.08000183105467,102.08000183105467,0.009435675
2016-08-23 05:00:00,278.76,280.74,0.24,0.34,-14.11,-0.0024,0.0034,0.001,1.156,0.0848,102.09500122070312,102.09500122070312,0.009327118
2016-08-23 05:30:00,278.51,280.53,0.25,0.37,-10.49,-0.001,-0.001,-0.0005,1.1215,0.0835,102.11000061035156,102.11000061035156,0.009261496
2016-08-23 06:00:00,279.94,280.63,0.0,0.15,4.73,-0.0023,-0.0021,-0.0052,1.0882,0.0823,102.12999725341795,102.12999725341795,0.009871039
2016-08-23 06:30:00,284.25,283.1,0.14,0.24,50.67,-0.0039,0.0273,0.0139,1.0403,0.0807,102.1500015258789,102.1500015258789,0.011363406
2016-08-23 07:00:00,288.0,286.11,0.51,0.73,126.37,-0.0097,0.0212,0.0046,-1.1845,0.0999,102.16999816894533,102.16999816894533,0.013441024000000001
2016-08-23 07:30:00,290.02,288.63,0.59,0.74,162.35,-0.0068,0.0296,0.0067,-0.4497,0.0534,102.19000244140624,102.19000244140624,0.013851929
2016-08-23 08:00:00,293.61,290.75,0.02,0.35,216.0,-0.0196,0.0435,0.0133,0.9462,0.2186,102.20500183105467,102.20500183105467,0.013815947
2016-08-23 08:30:00,294.82,291.28,0.59,0.8,293.16,-0.0137,0.0884,0.0193,-1.4999,0.1062,102.22000122070312,102.22000122070312,0.013700238000000002
2016-08-23 09:00:00,295.4,292.19,0.52,0.78,359.88,-0.0204,0.1329,0.0272,0.9574,0.0314,102.2300033569336,102.2300033569336,0.013653015000000001
2016-08-23 09:30:00,298.03,292.76,0.38,1.04,418.86,-0.0594,0.1197,0.0315,-3.1078,0.0936,102.23999786376952,102.23999786376952,0.013187177999999999
2016-08-23 10:00:00,297.77,293.55,0.0,0.22,463.96,-0.0558,0.1239,0.0325,-1.9209,0.0887,102.23500061035156,102.23500061035156,0.012997658
2016-08-23 10:30:00,297.43,294.14,0.37,1.12,503.42,-0.0765,0.1656,0.0448,-2.6483,0.2053,102.2300033569336,102.2300033569336,0.013663102
2016-08-23 11:00:00,299.2,294.37,0.79,1.21,531.99,-0.0364,0.1596,0.0474,-2.2214,0.1765,102.2249984741211,102.2249984741211,0.0134370365
2016-08-23 11:30:00,298.0,294.57,1.76,2.56,564.08,-0.083,0.1839,0.0454,0.3379,0.1167,102.22000122070312,102.22000122070312,0.013777342000000001
2016-08-23 12:00:00,297.96,294.76,1.42,2.06,576.59,-0.0652,0.1943,0.0572,-1.4441,0.1113,102.20500183105467,102.20500183105467,0.013641470999999999
2016-08-23 12:30:00,298.21,295.36,1.33,2.25,579.51,-0.1002,0.1816,0.0532,-0.5814,0.1105,102.19000244140624,102.19000244140624,0.013682897000000001
2016-08-23 13:00:00,298.9,295.94,1.37,2.06,571.51,-0.0708,0.1893,0.0653,-1.9437,0.112,102.18000030517578,102.18000030517578,0.013577844
2016-08-23 13:30:00,299.28,296.44,1.63,2.5,552.4,-0.0921,0.1676,0.0606,-1.1933,0.106,102.16999816894533,102.16999816894533,0.013017872000000002
2016-08-23 14:00:00,300.37,297.03,1.45,2.23,500.89,-0.0784,0.1655,0.0668,-1.4858,0.1172,102.15499877929688,102.15499877929688,0.012786602000000001
2016-08-23 14:30:00,300.45,297.03,1.5,2.39,446.46,-0.0901,0.1414,0.0542,-1.3603,0.1079,102.13999938964844,102.13999938964844,0.013048546
2016-08-23 15:00:00,299.75,297.19,1.53,2.53,440.62,-0.1073,0.1436,0.0538,-1.1586,0.1094,102.12000274658205,102.12000274658205,0.013146604999999999
2016-08-23 15:30:00,301.2,297.37,1.65,2.6,390.7,-0.0981,0.1367,0.0514,-1.3726,0.1041,102.0999984741211,102.0999984741211,0.013291648000000001
2016-08-23 16:00:00,301.64,297.21,1.62,2.57,322.66,-0.0964,0.1218,0.0492,-1.2982,0.1057,102.08499908447266,102.08499908447266,0.013075889
2016-08-23 16:30:00,300.43,297.23,1.68,2.57,253.34,-0.0823,0.0917,0.035,-0.6081,0.1204,102.06999969482422,102.06999969482422,0.012976826
2016-08-23 17:00:00,300.35,296.83,1.9,2.86,179.08,-0.0871,0.07,0.0264,-0.621,0.092,102.05500030517578,102.05500030517578,0.013029195
2016-08-23 17:30:00,298.92,296.46,1.67,2.68,101.95,-0.0864,0.0424,0.0226,-0.6374,0.0989,102.04000091552734,102.04000091552734,0.013172548000000001
2016-08-23 18:00:00,297.9,296.28,1.23,2.18,27.57,-0.0695,0.0191,0.0187,0.1388,0.0944,102.03500366210938,102.03500366210938,0.0130799465
2016-08-23 18:30:00,295.97,295.85,1.02,1.91,-29.52,-0.0413,-0.0077,0.0137,0.6793,0.1107,102.02999877929688,102.02999877929688,0.012575123
2016-08-23 19:00:00,293.83,294.95,0.31,1.25,-60.21,-0.0155,-0.0139,0.0033,0.747,0.0949,102.03500366210938,102.03500366210938,0.012905963
2016-08-23 19:30:00,291.71,293.53,0.65,1.0,-67.09,-0.0077,-0.011,0.0011,0.8444,0.0488,102.04000091552734,102.04000091552734,0.013168023000000001
2016-08-23 20:00:00,289.24,291.79,0.27,0.45,-59.36,-0.003,0.0006,-0.0004,1.8182,0.1212,102.05999755859376,102.05999755859376,0.013222783
2016-08-23 20:30:00,288.13,290.87,0.34,0.7,-58.69,-0.0102,0.001,0.0001,1.7637,0.1174,102.08000183105467,102.08000183105467,0.013276385
2016-08-23 21:00:00,286.88,289.0,0.23,0.62,-54.64,-0.0095,-0.0103,0.0002,1.7303,0.1151,102.08999633789062,102.08999633789062,0.013274296
2016-08-23 21:30:00,285.79,287.89,0.27,0.39,-51.88,-0.001,-0.001,-0.0,1.7117,0.1139,102.0999984741211,102.0999984741211,0.013288787
2016-08-23 22:00:00,284.81,287.2,0.0,0.1,-50.26,-0.0041,0.006,0.0029,1.6844,0.1121,102.125,102.125,0.013134993
2016-08-23 22:30:00,284.24,286.78,0.06,0.3,-48.46,-0.0039,0.0001,-0.0013,1.6523,0.1101,102.1500015258789,102.1500015258789,0.01306129
2016-08-23 23:00:00,283.85,286.63,0.19,0.31,-38.34,-0.0021,0.0009,0.0001,0.8812,0.0315,102.16000366210938,102.16000366210938,0.013034492
2016-08-23 23:30:00,283.64,285.37,0.17,0.3,-31.24,-0.0021,0.0006,0.0023,1.2645,0.0978,102.16999816894533,102.16999816894533,0.012080995
2016-08-24 00:00:00,283.11,285.31,0.0,0.17,-27.27,-0.0071,0.0008,0.0022,1.563,0.1046,102.1750030517578,102.1750030517578,0.012156596
