Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (kPa),PPFD (micromol m-2 s-1),rv
2016-07-23 00:30:00,285.22,287.27,0.13,0.9,-58.69,-0.0028,-0.0031,-0.0001,0.6541,0.0737,,,0.012321764
2016-07-23 01:00:00,285.05,287.09,1.0,1.2,-60.17,-0.0026,-0.0057,-0.0002,1.0259,0.0627,,,0.012286031
2016-07-23 01:30:00,284.58,286.51,0.77,0.89,-58.16,-0.001,-0.0024,0.0008,1.9357,0.13,,,0.012082317
2016-07-23 02:00:00,284.44,286.4,0.08,1.24,-58.43,-0.003,-0.0054,0.0,0.8257,0.0522,,,0.012122077000000002
2016-07-23 02:30:00,284.58,286.5,0.27,1.33,-58.81,-0.0051,-0.0077,-0.0001,0.8454,0.0598,,,0.012135924
2016-07-23 03:00:00,284.39,286.43,0.05,1.06,-58.25,-0.0058,-0.008,-0.0003,1.2358,0.0661,,,0.012205391000000001
2016-07-23 03:30:00,284.34,286.29,0.16,1.25,-59.01,-0.0033,-0.0055,0.0005,0.2732,0.0537,,,0.012068514
2016-07-23 04:00:00,283.82,286.0,0.61,0.72,-54.53,-0.0013,0.0002,0.001,1.7546,0.1168,,,0.011935381
2016-07-23 04:30:00,282.68,285.02,0.03,0.21,-50.68,-0.0023,-0.0069,-0.0026,1.7314,0.1152,,,0.011497702
2016-07-23 05:00:00,281.96,284.05,0.0,0.02,-43.41,-0.0299,-0.0173,-0.0043,1.6983,0.113,,,0.011052835
2016-07-23 05:30:00,283.0,284.51,0.0,0.18,-17.55,-0.0029,-0.0023,-0.0002,3.4867,0.1105,,,0.011747496999999999
2016-07-23 06:00:00,286.65,286.23,0.37,0.51,21.3,-0.0035,0.0029,-0.0007,0.0393,0.0426,,,0.0127417965
2016-07-23 06:30:00,289.44,288.14,0.74,1.14,46.97,-0.0162,0.0076,0.0029,1.1939,0.1472,,,0.013097756
2016-07-23 07:00:00,288.46,288.32,0.95,1.32,56.88,-0.0169,0.0124,0.0013,-0.4262,0.0837,,,0.013288404
2016-07-23 07:30:00,291.4,289.66,0.73,1.3,253.84,-0.0451,0.0823,0.0227,3.7981,0.2152,,,0.013684482
2016-07-23 08:00:00,292.66,290.46,1.25,1.64,373.87,-0.0314,0.1237,0.0247,-2.2807,0.1397,,,0.013590188
2016-07-23 08:30:00,291.66,290.32,1.29,1.87,240.05,-0.0446,0.0739,0.0185,-0.136,0.1472,,,0.013235378
2016-07-23 09:00:00,293.02,291.15,1.52,2.11,405.86,-0.054,0.1343,0.0276,-3.0766,0.1286,,,0.013299147
2016-07-23 09:30:00,293.48,291.65,1.84,2.62,491.58,-0.078,0.1559,0.0308,-3.6309,0.1259,,,0.013282895999999999
2016-07-23 10:00:00,293.62,291.91,1.77,2.71,541.18,-0.1032,0.1818,0.0398,-3.4982,0.1325,,,0.01337942
2016-07-23 10:30:00,294.36,292.33,1.78,2.61,585.65,-0.0908,0.2007,0.0551,-3.5439,0.1481,,,0.013423678000000001
2016-07-23 11:00:00,294.68,292.64,1.78,2.73,617.62,-0.1072,0.1988,0.0515,-2.7043,0.1308,,,0.013657005
2016-07-23 11:30:00,295.34,293.41,1.68,2.49,637.68,-0.0898,0.2182,0.0612,-2.8962,0.1391,,,0.013787165
2016-07-23 12:00:00,295.58,293.45,1.46,2.02,651.06,-0.0521,0.1712,0.0545,-2.2784,0.1146,,,0.013183007
2016-07-23 12:30:00,296.09,294.1,1.29,1.79,654.4,-0.0498,0.2248,0.0825,-2.8151,0.1522,,,0.013524667
2016-07-23 13:00:00,296.43,294.26,1.06,1.61,646.12,-0.0559,0.2224,0.0925,-1.8552,0.1572,,,0.013261966
2016-07-23 13:30:00,296.67,294.5,1.56,2.01,631.79,-0.0427,0.1955,0.079,-2.064,0.135,,,0.013087192999999999
2016-07-23 14:00:00,296.82,295.0,1.17,1.77,605.9,-0.0622,0.2135,0.0907,-1.942,0.1603,,,0.013463096
2016-07-23 14:30:00,297.03,295.07,1.53,2.23,566.89,-0.0727,0.1974,0.0788,-1.9379,0.1478,,,0.013677449
2016-07-23 15:00:00,297.1,295.24,1.75,2.67,532.62,-0.1023,0.19,0.079,-1.8663,0.1498,,,0.013768763
2016-07-23 15:30:00,296.99,295.14,1.77,2.61,491.26,-0.0892,0.177,0.0691,-1.8299,0.1473,,,0.013851986
2016-07-23 16:00:00,297.31,295.44,1.75,2.65,464.16,-0.0952,0.167,0.0606,-2.2035,0.1474,,,0.014133129999999999
2016-07-23 16:30:00,297.26,295.4,1.9,2.71,389.2,-0.079,0.1337,0.0503,-2.1634,0.1323,,,0.01417732
2016-07-23 17:00:00,297.15,295.43,1.67,2.44,313.98,-0.0722,0.1198,0.0453,-2.0368,0.1497,,,0.01413806
2016-07-23 17:30:00,297.1,295.57,1.45,2.25,248.94,-0.0756,0.1134,0.0429,-1.334,0.1781,,,0.014087147
2016-07-23 18:00:00,296.08,295.13,1.8,2.77,164.66,-0.0895,0.0737,0.0279,-1.0425,0.1522,,,0.014334011
2016-07-23 18:30:00,294.59,294.28,1.66,2.46,68.01,-0.0608,0.0381,0.0182,-0.3711,0.1375,,,0.013933147
2016-07-23 19:00:00,293.41,293.55,1.32,2.19,5.61,-0.0577,0.014,0.014,0.1317,0.1463,,,0.013630778
2016-07-23 19:30:00,292.28,292.8,0.89,1.59,-40.06,-0.0276,-0.0027,0.005,0.5942,0.1224,,,0.013486680000000001
2016-07-23 20:00:00,291.01,291.83,0.16,0.83,-61.85,-0.0043,-0.0036,0.0002,0.4781,0.1114,,,0.013827388
2016-07-23 20:30:00,289.42,290.57,0.6,0.65,-63.42,-0.0002,-0.0015,-0.0009,2.2605,0.1577,,,0.014195032
2016-07-23 21:00:00,287.95,289.46,0.76,0.96,-61.82,-0.0025,-0.0042,-0.0002,2.2501,0.1248,,,0.014279715
2016-07-23 21:30:00,287.11,288.76,0.41,0.61,-59.44,-0.0052,0.0029,0.0013,2.194,0.1516,,,0.013870459
2016-07-23 22:00:00,286.4,288.24,0.18,0.33,-56.66,-0.004,0.0044,0.001,2.1639,0.1489,,,0.013802777
2016-07-23 22:30:00,285.68,287.72,0.17,0.33,-55.36,-0.0038,0.0022,0.0011,2.1298,0.1459,,,0.013634202
2016-07-23 23:00:00,285.33,287.68,0.4,0.51,-54.37,-0.0009,0.0,0.0008,2.0899,0.1425,,,0.013489302
2016-07-23 23:30:00,285.08,287.31,0.22,0.31,-52.82,-0.0005,-0.0003,-0.0003,2.0562,0.1397,,,0.013303304
2016-07-24 00:00:00,284.63,286.51,0.0,0.07,-48.93,-0.0105,0.0019,0.0049,2.0261,0.1372,,,0.01271753
