Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (hPa),PPFD (micromol m-2 s-1),rv
2016-08-26 00:30:00,285.57,287.65,0.19,0.48,-41.38,-0.001,-0.0003,0.0004,1.847,0.1233,101.37999725341795,101.37999725341795,0.013273842000000001
2016-08-26 01:00:00,285.25,286.89,0.09,0.37,-42.37,-0.0082,0.0029,0.0021,1.8206,0.1214,101.37000274658205,101.37000274658205,0.012605594999999999
2016-08-26 01:30:00,284.48,286.35,0.0,0.13,-41.37,-0.0133,0.0028,-0.0023,1.7902,0.1193,101.36000061035156,101.36000061035156,0.012190748
2016-08-26 02:00:00,284.18,286.1,0.0,0.15,-41.28,-0.0075,-0.0013,0.0003,1.582,0.0862,101.3550033569336,101.3550033569336,0.012181131000000001
2016-08-26 02:30:00,283.72,285.78,0.0,0.07,-40.98,-0.0154,0.0013,-0.0006,1.7251,0.0342,101.3499984741211,101.3499984741211,0.012329787
2016-08-26 03:00:00,284.27,286.42,0.0,0.16,-44.32,-0.0835,0.0034,0.0001,1.6825,0.112,101.3550033569336,101.3550033569336,0.013104724
2016-08-26 03:30:00,284.14,285.89,0.07,0.41,-42.46,-0.0088,0.0006,0.0002,3.0007,0.1012,101.36000061035156,101.36000061035156,0.012633424
2016-08-26 04:00:00,283.51,285.32,0.0,0.27,-42.94,-0.0205,-0.0038,-0.0026,1.6282,0.1158,101.34500122070312,101.34500122070312,0.012303765999999999
2016-08-26 04:30:00,283.8,285.65,0.07,0.41,-44.03,-0.0077,-0.011,-0.0024,1.588,0.1061,101.33000183105467,101.33000183105467,0.012547180000000002
2016-08-26 05:00:00,283.21,285.1,0.0,0.05,-41.51,-0.0944,0.0205,0.0058,1.5649,0.1047,101.33000183105467,101.33000183105467,0.012138885500000002
2016-08-26 05:30:00,282.8,284.8,0.0,0.08,-34.42,-0.0248,-0.01,-0.0061,1.5386,0.1032,101.33000183105467,101.33000183105467,0.011930964
2016-08-26 06:00:00,284.3,284.92,0.0,0.22,-9.13,-0.0062,-0.0012,-0.0009,1.4517,0.015,101.33499908447266,101.33499908447266,0.012307532999999999
2016-08-26 06:30:00,286.16,286.71,0.19,0.46,8.62,-0.0049,-0.0029,-0.0024,1.4598,0.3458,101.33999633789062,101.33999633789062,0.013727354
2016-08-26 07:00:00,287.66,287.92,0.28,0.32,30.32,-0.0009,0.0064,0.0026,1.4317,0.0973,101.34500122070312,101.34500122070312,0.014569652
2016-08-26 07:30:00,289.95,290.08,0.56,0.81,92.69,-0.0111,0.0188,0.0084,1.3975,0.0956,101.3499984741211,101.3499984741211,0.015794963
2016-08-26 08:00:00,293.58,292.71,0.87,1.26,173.4,-0.0238,0.0413,0.0163,1.3755,0.0944,101.33499908447266,101.33499908447266,0.016019161
2016-08-26 08:30:00,296.74,295.11,0.68,1.0,250.9,-0.0214,0.0706,0.0187,1.3982,0.0637,101.31999969482422,101.31999969482422,0.015598388
2016-08-26 09:00:00,298.73,296.99,0.79,1.11,317.58,-0.0229,0.0916,0.0301,-2.4045,0.1242,101.30999755859376,101.30999755859376,0.0158281555
2016-08-26 09:30:00,299.87,298.16,0.89,1.26,402.28,-0.0287,0.1137,0.0411,-1.4927,0.1722,101.3000030517578,101.3000030517578,0.015710049
2016-08-26 10:00:00,301.05,298.97,1.2,1.7,458.21,-0.0444,0.1483,0.0573,-1.307,0.1349,101.2750015258789,101.2750015258789,0.014291024999999999
2016-08-26 10:30:00,301.36,299.81,1.12,1.66,507.07,-0.049,0.1502,0.0597,-0.1016,0.1315,101.25,101.25,0.013922575999999999
2016-08-26 11:00:00,302.26,300.52,1.1,1.78,499.87,-0.0638,0.1414,0.0568,-2.2565,0.1486,101.23500061035156,101.23500061035156,0.01481206
2016-08-26 11:30:00,302.2,300.66,1.41,2.15,525.67,-0.0718,0.1435,0.0646,-0.5508,0.1552,101.22000122070312,101.22000122070312,0.014401981
2016-08-26 12:00:00,302.79,301.0,1.29,1.89,564.27,-0.0556,0.1544,0.0747,-0.9057,0.1422,101.1999969482422,101.1999969482422,0.013503005
2016-08-26 12:30:00,303.39,301.55,1.35,1.91,561.53,-0.0498,0.1427,0.0691,-0.3022,0.1348,101.18000030517578,101.18000030517578,0.013032590000000002
2016-08-26 13:00:00,303.76,301.95,1.51,2.08,557.12,-0.0504,0.1414,0.0652,-0.6622,0.1277,101.1500015258789,101.1500015258789,0.012654355
2016-08-26 13:30:00,303.95,302.66,1.55,1.77,523.07,-0.0165,0.1431,0.0726,-1.2585,0.1731,101.12000274658205,101.12000274658205,0.012649329
2016-08-26 14:00:00,304.91,303.3,0.79,1.48,514.36,-0.0644,0.1341,0.07,-1.1256,0.2054,101.0749969482422,101.0749969482422,0.011735444
2016-08-26 14:30:00,305.45,303.58,1.01,1.73,485.65,-0.0701,0.1476,0.0834,-0.5249,0.2217,101.02999877929688,101.02999877929688,0.011761723
2016-08-26 15:00:00,304.79,303.32,1.45,2.08,384.79,-0.0544,0.1123,0.0677,-0.0325,0.2354,100.99500274658205,100.99500274658205,0.01210291
