Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (kPa),PPFD (micromol m-2 s-1),rv
2016-08-22 00:30:00,289.13,290.33,0.77,1.8,-23.85,-0.0324,-0.0202,0.0033,1.8966,0.0963,101.26000213623048,101.26000213623048,0.01175999
2016-08-22 01:00:00,288.98,290.11,0.4,1.46,-37.71,-0.0328,-0.0226,0.002,1.677,0.137,101.2750015258789,101.2750015258789,0.012104857000000002
2016-08-22 01:30:00,288.61,290.05,0.48,1.51,-32.0,-0.046,-0.0172,0.0033,1.6358,0.1139,101.29000091552734,101.29000091552734,0.011645376
2016-08-22 02:00:00,288.57,290.08,1.12,2.23,-36.42,-0.0527,-0.0217,0.002,1.145,0.1033,101.30500030517578,101.30500030517578,0.011471615999999999
2016-08-22 02:30:00,288.42,289.64,0.1,0.98,-29.56,-0.0222,-0.0125,0.0006,0.7312,0.112,101.31999969482422,101.31999969482422,0.011633299
2016-08-22 03:00:00,288.35,289.36,0.79,1.74,-23.36,-0.0333,-0.0156,0.0001,2.3376,0.1211,101.34500122070312,101.34500122070312,0.01183776
2016-08-22 03:30:00,288.12,289.23,0.83,1.78,-41.78,-0.0325,-0.0156,0.0006,1.5149,0.0951,101.37000274658205,101.37000274658205,0.011623569
2016-08-22 04:00:00,287.32,288.43,0.08,0.48,-31.21,-0.0105,-0.0081,-0.0002,1.7213,0.118,101.38999938964844,101.38999938964844,0.012207815
2016-08-22 04:30:00,286.96,288.63,0.33,1.28,-33.93,-0.0219,-0.0157,0.0003,2.9517,0.1403,101.41000366210938,101.41000366210938,0.011640194
2016-08-22 05:00:00,287.37,288.57,0.53,0.95,-28.1,-0.0115,-0.0136,0.0005,2.0325,0.1461,101.43000030517578,101.43000030517578,0.011487582
2016-08-22 05:30:00,287.56,288.9,0.56,1.52,-33.8,-0.0238,-0.0167,0.0016,2.1085,0.1088,101.4499969482422,101.4499969482422,0.0114765835
2016-08-22 06:00:00,287.21,288.32,0.56,0.68,-25.2,-0.0009,-0.0036,0.0004,1.4795,0.0999,101.48999786376952,101.48999786376952,0.011638616000000001
2016-08-22 06:30:00,287.53,288.3,0.38,0.62,6.09,-0.0038,-0.0031,-0.0006,0.8033,0.1061,101.52999877929688,101.52999877929688,0.012019303
2016-08-22 07:00:00,288.22,288.63,0.77,1.44,35.78,-0.0348,0.006,-0.0013,0.0849,0.0803,101.56999969482422,101.56999969482422,0.012968693
2016-08-22 07:30:00,288.08,288.33,1.64,2.67,71.6,-0.0784,0.0154,0.0011,0.6568,0.1038,101.61000061035156,101.61000061035156,0.012905614000000001
2016-08-22 08:00:00,289.08,288.95,1.56,2.61,99.79,-0.0886,0.0332,-0.0007,-0.5471,0.1036,101.6449966430664,101.6449966430664,0.013258347
2016-08-22 08:30:00,289.21,289.04,1.88,3.0,123.14,-0.1033,0.0445,0.001,-1.0659,0.0991,101.68000030517578,101.68000030517578,0.01324572
2016-08-22 09:00:00,288.83,288.84,1.82,3.23,103.13,-0.1464,0.0375,0.0038,-0.5296,0.1195,101.69499969482422,101.69499969482422,0.0131114
2016-08-22 09:30:00,289.99,289.49,2.03,3.24,222.93,-0.1248,0.0784,0.0103,-1.8231,0.0936,101.70999908447266,101.70999908447266,0.013097613000000001
2016-08-22 10:00:00,291.31,290.23,2.01,3.24,359.63,-0.1416,0.1327,0.0165,-2.1728,0.0998,101.73500061035156,101.73500061035156,0.013157788
2016-08-22 10:30:00,290.05,289.92,1.77,2.93,100.34,-0.1044,0.0333,0.006,-0.5937,0.0888,101.76000213623048,101.76000213623048,0.0125944805
2016-08-22 11:00:00,290.04,289.93,1.7,2.71,89.22,-0.0828,0.0331,0.0038,-0.6327,0.0897,101.78500366210938,101.78500366210938,0.012744410000000001
2016-08-22 11:30:00,290.16,289.86,1.56,2.65,175.87,-0.1005,0.052,0.0093,-0.4779,0.1155,101.80999755859376,101.80999755859376,0.012867484
2016-08-22 12:00:00,290.46,290.33,1.81,2.76,179.18,-0.0838,0.0594,0.007,-2.0547,0.0895,101.80500030517578,101.80500030517578,0.012301821000000001
2016-08-22 12:30:00,293.6,291.92,2.08,3.14,441.27,-0.1179,0.1566,0.0289,-2.7298,0.0965,101.8000030517578,101.8000030517578,0.012497875
2016-08-22 13:00:00,292.99,292.29,1.17,2.24,407.91,-0.1243,0.1961,0.0352,-2.9978,0.0787,101.80500030517578,101.80500030517578,0.012050503
2016-08-22 13:30:00,295.5,293.76,0.81,1.68,540.27,-0.0969,0.2037,0.0533,-1.9443,0.1146,101.80999755859376,101.80999755859376,0.011937825
2016-08-22 14:00:00,294.56,293.14,1.38,2.54,358.07,-0.131,0.1463,0.0225,-1.737,0.0968,101.81500244140624,101.81500244140624,0.012389068999999999
2016-08-22 14:30:00,294.16,293.01,1.61,2.65,364.7,-0.1108,0.1287,0.0303,-1.7096,0.1089,101.81999969482422,101.81999969482422,0.012284915
2016-08-22 15:00:00,295.23,293.54,1.86,3.06,455.68,-0.1431,0.1728,0.0478,-2.1772,0.1034,101.8249969482422,101.8249969482422,0.012270907
2016-08-22 15:30:00,295.4,293.62,1.91,2.89,391.25,-0.1039,0.146,0.0455,-1.7429,0.0985,101.83000183105467,101.83000183105467,0.011871839
2016-08-22 16:00:00,295.41,293.77,1.43,2.13,324.5,-0.0661,0.1335,0.0444,-1.613,0.1173,101.83000183105467,101.83000183105467,0.011305517999999999
2016-08-22 16:30:00,295.46,293.91,1.32,1.75,253.5,-0.0337,0.0961,0.0356,-1.0725,0.0976,101.83000183105467,101.83000183105467,0.011194117
