Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (kPa),PPFD (micromol m-2 s-1),rv
2016-08-30 00:30:00,284.21,286.03,0.25,0.54,-41.45,-0.0045,-0.0003,-0.0002,0.879,0.0902,101.44000244140624,101.44000244140624,0.012884940000000001
2016-08-30 01:00:00,284.05,286.05,0.3,0.52,-34.08,-0.003,-0.0032,0.0008,1.6534,0.072,101.4499969482422,101.4499969482422,0.013076273000000001
2016-08-30 01:30:00,284.41,286.2,0.11,0.4,-28.49,-0.0074,0.0013,0.0,1.5222,0.1022,101.45999908447266,101.45999908447266,0.013337123999999999
2016-08-30 02:00:00,284.15,285.54,0.0,0.15,-26.81,-0.0045,0.0,0.0029,1.4981,0.1009,101.47000122070312,101.47000122070312,0.012819443
2016-08-30 02:30:00,283.1,284.71,0.0,0.07,-25.53,-0.037,-0.0161,-0.0171,1.4759,0.0997,101.4800033569336,101.4800033569336,0.012109237
2016-08-30 03:00:00,282.21,284.45,0.41,0.49,-23.45,-0.0017,0.0032,0.0007,1.4477,0.0982,101.5,101.5,0.011866110000000001
2016-08-30 03:30:00,281.89,284.34,0.11,0.25,-21.48,-0.0012,-0.0039,0.0022,1.415,0.0964,101.5199966430664,101.5199966430664,0.011729693
2016-08-30 04:00:00,281.51,284.04,0.42,0.44,-19.11,-0.0003,0.0008,0.0004,1.3867,0.095,101.5199966430664,101.5199966430664,0.011574881
2016-08-30 04:30:00,281.42,283.3,0.0,0.23,-18.03,-0.0047,-0.0028,0.0006,1.3558,0.2005,101.5199966430664,101.5199966430664,0.011057637
2016-08-30 05:00:00,280.99,283.24,0.27,0.43,-17.45,-0.0051,0.0082,0.0047,1.3317,0.0923,101.53500366210938,101.53500366210938,0.011061947
2016-08-30 05:30:00,281.38,283.72,0.0,0.33,-16.06,-0.0167,0.0097,0.0055,1.2914,0.0905,101.5500030517578,101.5500030517578,0.011457376500000001
2016-08-30 06:00:00,281.52,284.24,0.4,0.5,-2.01,-0.0021,0.0022,0.0012,-4.1879,0.089,101.5749969482422,101.5749969482422,0.011803209
2016-08-30 06:30:00,284.64,285.62,0.74,1.13,27.05,-0.0065,-0.001,0.0011,-0.2031,0.0209,101.5999984741211,101.5999984741211,0.013027559999999999
2016-08-30 07:00:00,286.75,287.14,0.85,1.36,64.61,-0.0167,0.0001,-0.0016,2.1541,0.0872,101.5999984741211,101.5999984741211,0.014756728
2016-08-30 07:30:00,287.69,288.05,1.13,1.67,55.55,-0.0224,0.0035,0.0008,-0.9311,0.0575,101.5999984741211,101.5999984741211,0.015665896000000002
2016-08-30 08:00:00,288.35,288.79,1.22,1.87,72.61,-0.0332,0.0066,0.0003,-0.0125,0.0627,101.5999984741211,101.5999984741211,0.015907834
2016-08-30 08:30:00,289.36,289.46,1.74,2.77,167.33,-0.0876,0.0368,0.0003,-0.991,0.0672,101.5999984741211,101.5999984741211,0.014920821
2016-08-30 09:00:00,290.83,290.11,1.65,2.42,220.54,-0.0645,0.0702,0.0004,-4.7572,0.0656,101.58499908447266,101.58499908447266,0.014423705
2016-08-30 09:30:00,291.65,290.76,1.27,2.21,250.62,-0.088,0.0844,0.009,-2.6273,0.0853,101.56999969482422,101.56999969482422,0.014358226
2016-08-30 10:00:00,292.56,291.65,1.9,2.81,264.49,-0.0846,0.088,0.0103,-3.0714,0.0661,101.54000091552734,101.54000091552734,0.014236053
2016-08-30 10:30:00,292.8,291.71,1.92,3.15,285.35,-0.1348,0.1014,0.0139,-2.2173,0.0788,101.51000213623048,101.51000213623048,0.01409603
2016-08-30 11:00:00,292.2,291.42,2.2,3.4,326.5,-0.1316,0.1154,0.0167,-3.0113,0.0894,101.5,101.5,0.013856741
2016-08-30 11:30:00,293.08,291.83,2.52,3.79,407.49,-0.1477,0.138,0.0176,-2.4414,0.0754,101.48999786376952,101.48999786376952,0.013642508
2016-08-30 12:00:00,294.01,292.53,2.26,3.51,546.87,-0.1558,0.2017,0.0297,-2.8947,0.0824,101.47000122070312,101.47000122070312,0.0138448925
2016-08-30 12:30:00,294.8,292.94,2.13,3.45,585.11,-0.1744,0.2423,0.0442,-2.9224,0.1012,101.4499969482422,101.4499969482422,0.013949313999999999
2016-08-30 13:00:00,295.08,293.09,2.06,3.27,583.43,-0.1568,0.2577,0.0448,-2.5285,0.0938,101.44000244140624,101.44000244140624,0.01392465
2016-08-30 13:30:00,294.48,292.9,2.1,3.32,470.41,-0.1495,0.1943,0.0377,-1.8077,0.0852,101.43000030517578,101.43000030517578,0.013584081
2016-08-30 14:00:00,294.06,292.7,2.03,2.96,477.54,-0.0988,0.1636,0.0298,-1.7982,0.0823,101.40499877929688,101.40499877929688,0.013320961000000001
2016-08-30 14:30:00,295.85,293.59,1.76,2.73,552.82,-0.1128,0.2147,0.0437,-2.1548,0.0889,101.37999725341795,101.37999725341795,0.01342549
2016-08-30 15:00:00,294.43,292.92,2.16,3.43,305.16,-0.1499,0.1403,0.0281,-2.0418,0.0962,101.38500213623048,101.38500213623048,0.013369225500000002
2016-08-30 15:30:00,292.91,292.3,2.16,3.54,228.5,-0.1585,0.0948,0.0208,-2.2464,0.0974,101.38999938964844,101.38999938964844,0.01349403
2016-08-30 16:00:00,293.33,292.47,2.26,3.62,291.77,-0.1593,0.1124,0.0206,-2.0573,0.0998,101.3949966430664,101.3949966430664,0.013723024
2016-08-30 16:30:00,292.97,292.19,1.57,2.63,173.04,-0.1024,0.0747,0.0188,-2.0117,0.0994,101.4000015258789,101.4000015258789,0.013782237000000001
2016-08-30 17:00:00,291.82,291.65,1.57,2.48,67.9,-0.0683,0.0262,0.0071,-0.4861,0.0931,101.38500213623048,101.38500213623048,0.013759987000000001
2016-08-30 17:30:00,292.91,292.1,1.69,2.38,187.91,-0.0561,0.0704,0.0121,-1.2686,0.0757,101.37000274658205,101.37000274658205,0.013716664
2016-08-30 18:00:00,292.32,292.02,1.63,2.65,33.36,-0.0842,0.0352,0.0088,-0.5939,0.0738,101.3499984741211,101.3499984741211,0.013582091000000001
