Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (kPa),PPFD (micromol m-2 s-1),rv
2016-08-20 00:30:00,284.47,287.65,0.0,0.24,-20.2,-0.0128,-0.0114,-0.0016,2.035,0.1379,101.26000213623048,101.26000213623048,0.014496354999999999
2016-08-20 01:00:00,284.22,286.93,0.2,0.38,-18.13,-0.0057,0.006,0.0027,2.0026,0.1353,101.25499725341795,101.25499725341795,0.013799016
2016-08-20 01:30:00,283.3,285.94,0.07,0.25,-16.09,-0.0048,0.0029,0.0022,1.9728,0.1329,101.25,101.25,0.013099741
2016-08-20 02:00:00,283.04,285.35,0.28,0.43,-15.31,-0.004,0.0047,0.0024,1.9337,0.1298,101.25499725341795,101.25499725341795,0.012666779
2016-08-20 02:30:00,282.56,284.64,0.0,0.11,-13.29,-0.0011,-0.0021,0.0006,1.8984,0.1271,101.26000213623048,101.26000213623048,0.012098072999999999
2016-08-20 03:00:00,282.17,284.38,0.0,0.24,-13.87,-0.0186,0.006,0.0018,1.8647,0.1246,101.25499725341795,101.25499725341795,0.011920661
2016-08-20 03:30:00,282.15,284.74,0.0,0.22,-13.08,-0.0057,-0.0134,-0.0014,1.8238,0.1216,101.25,101.25,0.01195442
2016-08-20 04:00:00,282.21,285.03,0.0,0.17,-11.08,-0.006,-0.0038,-0.0011,1.7826,0.1187,101.23999786376952,101.23999786376952,0.012107221
2016-08-20 04:30:00,281.96,284.01,0.0,0.15,-10.6,-0.01,-0.0023,-0.0006,1.7524,0.1166,101.2300033569336,101.2300033569336,0.011678530999999999
2016-08-20 05:00:00,281.98,284.51,0.06,0.16,-11.2,-0.0032,0.0081,0.0013,1.7127,0.114,101.23999786376952,101.23999786376952,0.011960184
2016-08-20 05:30:00,282.16,284.68,0.0,0.06,-5.34,-0.0088,0.0148,0.0021,1.679,0.1118,101.25,101.25,0.012129361
2016-08-20 06:00:00,283.14,284.04,0.0,0.15,6.71,-0.0069,-0.0031,-0.003,0.7103,0.11,101.26000213623048,101.26000213623048,0.012300344000000001
2016-08-20 06:30:00,287.24,286.53,0.11,0.2,42.41,-0.0024,0.0077,0.006,1.6026,0.107,101.2699966430664,101.2699966430664,0.0074837856
2016-08-20 07:00:00,290.71,289.5,0.3,0.43,126.12,-0.006,0.0291,0.0773,-4.9865,0.1035,101.27999877929688,101.27999877929688,0.01586064
2016-08-20 07:30:00,295.26,292.39,1.13,1.84,172.36,-0.042,0.0135,0.0135,0.0225,0.2099,101.29000091552734,101.29000091552734,0.016465034
2016-08-20 08:00:00,298.77,294.1,1.35,2.02,238.45,-0.0463,0.0386,0.014,-0.9099,0.1165,101.28500366210938,101.28500366210938,0.015668761
2016-08-20 08:30:00,300.25,295.28,1.45,2.08,302.49,-0.0498,0.0715,0.0227,-0.44,0.1419,101.27999877929688,101.27999877929688,0.015508232
2016-08-20 09:00:00,299.35,295.93,1.54,2.21,366.21,-0.0597,0.1086,0.0319,1.5075,0.0798,101.27999877929688,101.27999877929688,0.015522027
2016-08-20 09:30:00,300.52,296.51,1.48,2.26,426.53,-0.0754,0.1304,0.0342,-4.8806,0.0166,101.27999877929688,101.27999877929688,0.015344667
2016-08-20 10:00:00,300.1,297.19,1.36,1.99,476.95,-0.0572,0.1335,0.0455,-2.1213,0.1352,101.2750015258789,101.2750015258789,0.015102566
2016-08-20 10:30:00,300.51,297.47,1.37,1.94,520.68,-0.0504,0.1357,0.0497,-1.8469,0.1218,101.2699966430664,101.2699966430664,0.014766686999999999
2016-08-20 11:00:00,301.69,298.47,1.51,2.06,553.7,-0.0518,0.1614,0.067,-2.4026,0.1538,101.25499725341795,101.25499725341795,0.014768335
2016-08-20 11:30:00,301.24,298.77,1.2,2.03,576.85,-0.0858,0.1679,0.0696,-2.0596,0.1458,101.23999786376952,101.23999786376952,0.014865258000000001
2016-08-20 12:00:00,302.57,299.06,1.48,1.89,588.12,-0.0347,0.1424,0.0594,-0.902,0.1446,101.22000122070312,101.22000122070312,0.014550605
2016-08-20 12:30:00,303.26,299.33,1.29,1.71,590.67,-0.0359,0.162,0.0755,-1.399,0.164,101.1999969482422,101.1999969482422,0.014667001
2016-08-20 13:00:00,304.23,300.32,1.24,1.77,582.06,-0.0478,0.151,0.079,-1.059,0.1676,101.1750030517578,101.1750030517578,0.014530052
2016-08-20 13:30:00,303.84,300.67,1.25,1.91,565.8,-0.0657,0.1769,0.0975,-1.7873,0.2239,101.1500015258789,101.1500015258789,0.014220907999999999
2016-08-20 14:00:00,304.31,300.96,1.27,1.93,537.27,-0.0624,0.1512,0.0793,-1.0366,0.2003,101.12000274658205,101.12000274658205,0.01498964
2016-08-20 14:30:00,304.5,300.96,1.47,2.19,500.14,-0.0692,0.1435,0.0721,-0.8,0.2017,101.08999633789062,101.08999633789062,0.015578594000000001
2016-08-20 15:00:00,305.37,301.07,0.95,1.52,451.72,-0.0508,0.1347,0.0686,-0.6701,0.2545,101.0500030517578,101.0500030517578,0.015416376
2016-08-20 15:30:00,304.6,301.33,0.92,1.74,397.02,-0.0801,0.1309,0.0641,-0.6512,0.279,101.01000213623048,101.01000213623048,0.015543142
2016-08-20 16:00:00,303.48,301.4,1.0,1.75,332.96,-0.0676,0.1037,0.0581,-0.7534,0.2859,100.9749984741211,100.9749984741211,0.015264113999999999
2016-08-20 16:30:00,302.32,300.56,1.54,2.5,267.3,-0.0917,0.0914,0.0441,-0.162,0.2498,100.94000244140624,100.94000244140624,0.015810585
2016-08-20 17:00:00,300.93,299.72,1.27,2.21,192.69,-0.0857,0.0754,0.0378,-0.2971,0.2686,100.91999816894533,100.91999816894533,0.015540234
2016-08-20 17:30:00,300.68,299.34,1.28,2.03,114.59,-0.0549,0.0415,0.0264,-0.202,0.2556,100.9000015258789,100.9000015258789,0.015558059
2016-08-20 18:00:00,300.4,298.99,1.39,2.14,39.07,-0.0486,0.0183,0.0206,-0.0708,0.248,100.875,100.875,0.014886036000000002
2016-08-20 18:30:00,299.02,298.41,1.14,2.05,-20.85,-0.0575,0.0039,0.0148,1.1459,0.2932,100.8499984741211,100.8499984741211,0.015143416
2016-08-20 19:00:00,296.18,296.98,0.47,1.31,-53.19,-0.0154,-0.0109,0.0047,0.8344,0.1699,100.83000183105467,100.83000183105467,0.015108188
2016-08-20 19:30:00,293.88,295.48,0.21,1.05,-63.13,-0.0063,-0.0066,-0.001,0.7398,0.1225,100.80999755859376,100.80999755859376,0.015443352
2016-08-20 20:00:00,292.21,293.92,0.24,0.63,-59.75,-0.0043,-0.0012,-0.0005,2.3244,0.1638,100.81999969482422,100.81999969482422,0.016301016
2016-08-20 20:30:00,290.43,292.31,0.15,0.73,-57.19,-0.0035,-0.0024,0.0004,0.5318,0.162,100.83000183105467,100.83000183105467,0.016511307
2016-08-20 21:00:00,289.22,291.02,0.17,0.35,-55.71,-0.0037,0.0013,0.0003,2.2496,0.1567,100.80999755859376,100.80999755859376,0.016537989
2016-08-20 21:30:00,288.29,290.29,0.23,0.38,-54.12,-0.0015,-0.0009,0.0011,2.2241,0.1544,100.79000091552734,100.79000091552734,0.016588034
2016-08-20 22:00:00,287.86,289.89,0.37,0.5,-50.84,-0.002,0.0003,0.0007,2.1918,0.1514,100.78500366210938,100.78500366210938,0.016561945
2016-08-20 22:30:00,287.77,289.36,0.2,0.62,-50.59,-0.0033,-0.0013,0.0025,2.1651,0.2888,100.77999877929688,100.77999877929688,0.016160324
2016-08-20 23:00:00,287.47,289.06,0.49,0.59,-47.24,-0.0006,-0.001,-0.0002,2.1316,0.1461,100.7699966430664,100.7699966430664,0.015939492
2016-08-20 23:30:00,286.77,288.85,0.13,0.28,-44.97,-0.0035,0.0026,0.0011,2.1015,0.1435,100.76000213623048,100.76000213623048,0.015819509
2016-08-21 00:00:00,285.91,288.63,0.0,0.18,-41.23,-0.0056,0.0009,-0.0025,1.041,0.1409,100.76000213623048,100.76000213623048,0.015234844
