Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (hPa),PPFD (micromol m-2 s-1),rv
2016-08-27 00:30:00,286.47,288.54,0.36,0.51,-43.95,-0.0039,0.0035,0.0013,1.9195,0.1287,100.66000366210938,100.66000366210938,0.014962666000000001
2016-08-27 01:00:00,286.39,288.82,0.3,0.48,-41.7,-0.0075,0.0209,0.0079,1.8906,0.1265,100.6449966430664,100.6449966430664,0.015249409
2016-08-27 01:30:00,286.51,290.09,0.03,0.53,-43.26,-0.0025,-0.0015,0.0007,1.8498,0.0257,100.62999725341795,100.62999725341795,0.015485867
2016-08-27 02:00:00,286.93,289.95,0.17,0.41,-44.87,-0.0039,-0.0083,0.0019,1.8223,0.1215,100.61499786376952,100.61499786376952,0.015706997
2016-08-27 02:30:00,288.62,291.22,0.24,1.46,-51.16,-0.0219,-0.0274,0.0002,1.7859,0.2904,100.5999984741211,100.5999984741211,0.016214264
2016-08-27 03:00:00,289.25,291.09,0.61,0.9,-46.35,-0.0053,-0.0118,-0.0007,2.0229,0.2128,100.5999984741211,100.5999984741211,0.015773981
2016-08-27 03:30:00,288.4,290.74,0.0,0.26,-44.44,-0.0093,0.0054,0.0028,1.7447,0.1161,100.5999984741211,100.5999984741211,0.015317978000000001
2016-08-27 04:00:00,288.03,290.65,0.54,0.77,-47.9,-0.0035,-0.0073,0.0019,1.7252,0.1148,100.5999984741211,100.5999984741211,0.015379255000000001
2016-08-27 04:30:00,289.62,291.41,0.11,1.27,-52.07,-0.0233,-0.0257,-0.0001,2.4011,0.1844,100.5999984741211,100.5999984741211,0.015595195000000001
2016-08-27 05:00:00,290.28,291.66,0.88,2.1,-53.68,-0.0535,-0.034,0.0005,2.1416,0.1701,100.61000061035156,100.61000061035156,0.015834693
2016-08-27 05:30:00,290.34,291.55,1.26,2.66,-53.69,-0.0951,-0.0361,-0.0004,2.5224,0.1525,100.62000274658205,100.62000274658205,0.015999927
2016-08-27 06:00:00,290.25,291.47,0.59,1.7,-42.38,-0.0368,-0.0256,-0.0005,1.9782,0.1899,100.63500213623048,100.63500213623048,0.015918009
2016-08-27 06:30:00,290.72,291.75,1.33,2.55,-27.85,-0.0711,-0.0252,-0.0004,1.6173,0.1724,100.6500015258789,100.6500015258789,0.015901048
2016-08-27 07:00:00,291.43,292.12,0.91,2.0,19.96,-0.0687,-0.0094,0.0017,0.0923,0.1544,100.68000030517578,100.68000030517578,0.016041403
2016-08-27 07:30:00,292.04,292.48,1.41,2.52,88.79,-0.0872,0.0137,0.0037,-0.1047,0.1115,100.70999908447266,100.70999908447266,0.015814671000000002
2016-08-27 08:00:00,294.24,293.68,1.93,3.21,226.67,-0.1328,0.0668,0.0067,-1.1621,0.1399,100.70999908447266,100.70999908447266,0.0155750885
2016-08-27 08:30:00,295.77,294.36,2.48,4.02,323.91,-0.191,0.106,0.0262,-1.9493,0.1385,100.70999908447266,100.70999908447266,0.013596475
2016-08-27 09:00:00,294.77,293.82,2.65,4.46,220.12,-0.238,0.065,0.0257,-1.5083,0.1431,100.7249984741211,100.7249984741211,0.012987203
2016-08-27 09:30:00,293.58,293.36,1.58,2.68,131.92,-0.0935,0.0286,0.0201,-1.6106,0.1159,100.73999786376952,100.73999786376952,0.012834794
2016-08-27 10:00:00,293.37,293.14,1.21,2.02,129.45,-0.0588,0.0314,0.0181,-1.3759,0.1464,100.7699966430664,100.7699966430664,0.012755985000000001
2016-08-27 10:30:00,293.46,293.31,1.21,2.17,207.43,-0.0854,0.0616,0.0258,-2.1299,0.1347,100.8000030517578,100.8000030517578,0.013031864
2016-08-27 11:00:00,295.07,294.0,1.58,2.47,454.12,-0.0917,0.1538,0.0326,-2.2776,0.1216,100.81999969482422,100.81999969482422,0.013489524
2016-08-27 11:30:00,295.7,293.7,2.7,4.15,503.87,-0.193,0.1972,0.0321,-2.0844,0.1039,100.83999633789062,100.83999633789062,0.014265610000000001
2016-08-27 12:00:00,294.0,292.92,2.4,3.79,419.12,-0.1751,0.1629,0.0191,-1.6768,0.1001,100.86499786376952,100.86499786376952,0.014522158
2016-08-27 12:30:00,295.54,293.81,2.9,4.5,590.27,-0.2259,0.215,0.0444,-1.848,0.1226,100.88999938964844,100.88999938964844,0.014281822
2016-08-27 13:00:00,295.82,294.06,2.82,4.42,581.5,-0.2227,0.2041,0.0366,-1.6868,0.0945,100.91000366210938,100.91000366210938,0.014813171
2016-08-27 13:30:00,295.95,294.49,2.63,4.09,596.82,-0.1994,0.2339,0.0436,-2.0765,0.0999,100.93000030517578,100.93000030517578,0.0146357355
2016-08-27 14:00:00,295.81,294.33,2.89,4.71,548.22,-0.2815,0.2487,0.051,-2.1445,0.1166,100.94499969482422,100.94499969482422,0.014723917000000001
2016-08-27 14:30:00,295.11,293.78,2.48,4.15,432.44,-0.2314,0.1741,0.0377,-2.0277,0.1234,100.95999908447266,100.95999908447266,0.014603646
2016-08-27 15:00:00,295.47,294.3,2.46,4.12,404.97,-0.2304,0.1796,0.0403,-2.1627,0.1369,100.95999908447266,100.95999908447266,0.014600884000000001
2016-08-27 15:30:00,296.63,294.83,2.33,3.85,511.19,-0.2078,0.2205,0.0471,-2.448,0.1098,100.95999908447266,100.95999908447266,0.014474931
2016-08-27 16:00:00,294.93,293.88,2.43,3.78,205.99,-0.1511,0.0856,0.022,-0.2867,0.0865,100.9800033569336,100.9800033569336,0.013894013
2016-08-27 16:30:00,294.43,293.88,2.42,3.79,234.75,-0.1535,0.0891,0.0228,-1.0609,0.0988,101.0,101.0,0.013443314000000001
2016-08-27 17:00:00,295.21,294.14,1.97,3.32,202.57,-0.1552,0.1036,0.0266,-2.0118,0.1162,101.0199966430664,101.0199966430664,0.013269647
2016-08-27 17:30:00,293.2,293.02,2.01,3.21,67.33,-0.1057,0.0255,0.0131,0.3134,0.0753,101.04000091552734,101.04000091552734,0.012973858999999999
2016-08-27 18:00:00,292.37,292.64,1.63,2.88,53.84,-0.1079,0.0122,0.0095,0.3454,0.1087,101.04499816894533,101.04499816894533,0.012807188
2016-08-27 18:30:00,291.8,292.21,1.89,3.21,2.62,-0.1112,-0.0036,0.0082,1.1212,0.0949,101.0500030517578,101.0500030517578,0.012646890000000001
2016-08-27 19:00:00,290.98,291.73,1.33,2.47,-36.35,-0.0637,-0.0189,0.0054,1.6534,0.088,101.0749969482422,101.0749969482422,0.012338979
2016-08-27 19:30:00,290.7,291.5,1.17,2.19,-19.12,-0.0508,-0.0136,0.0027,1.7884,0.0755,101.0999984741211,101.0999984741211,0.012268425000000001
2016-08-27 20:00:00,290.56,291.38,1.21,2.28,-29.08,-0.0489,-0.0196,0.0036,3.8327,0.0789,101.125,101.125,0.012231927
2016-08-27 20:30:00,289.74,290.69,1.01,2.02,-39.81,-0.041,-0.0176,0.0018,2.0025,0.0809,101.1500015258789,101.1500015258789,0.012343673000000001
2016-08-27 21:00:00,289.32,290.14,0.84,1.7,-28.74,-0.0236,-0.0118,0.0005,1.8715,0.07,101.18499755859376,101.18499755859376,0.012384734
2016-08-27 21:30:00,289.14,289.95,0.7,1.52,-19.18,-0.0248,-0.0097,-0.0001,1.7687,0.0701,101.22000122070312,101.22000122070312,0.012323892000000001
2016-08-27 22:00:00,289.36,290.06,1.16,2.1,-18.16,-0.0418,-0.0118,0.0017,1.8069,0.0751,101.25,101.25,0.012140598
2016-08-27 22:30:00,289.19,289.81,1.42,2.53,-20.9,-0.0651,-0.0134,0.0026,2.53,0.0872,101.27999877929688,101.27999877929688,0.012133929
2016-08-27 23:00:00,289.0,289.6,1.25,2.32,-17.5,-0.0614,-0.0111,0.0002,1.3624,0.0742,101.31500244140624,101.31500244140624,0.0121739025
2016-08-27 23:30:00,288.44,289.08,1.2,2.26,-24.64,-0.0592,-0.0122,0.0007,2.2208,0.0803,101.3499984741211,101.3499984741211,0.012254818
2016-08-28 00:00:00,287.86,288.65,1.06,1.93,-33.03,-0.0313,-0.0111,0.0001,1.5511,0.0632,101.38500213623048,101.38500213623048,0.012225776
